Abk;Name
Fws E5;EK km 21,530
Fws E6;EK km 22,297
Fws;Flughafen Wien (in Fws)
Fws L2;Klein Neusiedl Lst
Fws L3;Schwadorf a.d.Fischa Lst
Fws Z1;Abzww Str 19201 (in Fws)
Fw U14;Üst Fw 14
Fw U3;Üst Fw 3
Fw Z2;Abzw Fw 2
G A2;AB (Awanst)
Gae A1;AB (Awanst)
Gae;Gänserndorf
Gae H1M;Weikendorf
Gae H1;Weikendorf-Dörfles
Gae H2A;Matzen
Gae H2M;Hst außer Betrieb
Gae H2;Tallesbrunn
Gae H3A;Raggendorf
Gae K1A;Prottes (Awanst, AB)
Gae S91;Sbl Gae 1S
Gae S92;Sbl Gae 1S
Ga;Gaisbach-Wartberg
Ga H1;Schloß Haus
Gai;Gaishorn
Gas;Gars-Thunau
Gas H1;Buchberg
Gbg;Bad Gleichenberg
Gb;Gstatterboden im Nationalpark
Gb H1;Johnsbach im Nationalpark
Gbk;Grein-Bad Kreuzen
Gbk H1;Dornach
Gdf;Großendorf
Gdf H1;Wiesmühle
Gd;Grafendorf
Gd H1;St.Johann i.d.Haide
Gdo;Graz-Kärntner Straße (in G)
Ged;Groß Engersdorf
Gef;Gerasdorf
Gef H1;Kapellerfeld
Gef H2;Seyring
Gef H3;Obersdorf Haltestelle
Gef S11;Sbl Gef 1
Gef S12;Sbl Gef 1
Gef S31;Sbl Gef 3
Gef S32;Sbl Gef 3
Gef U2;Üst Gef 2
Ges;Grein Stadt
Gf A1;AB (Awanst)
Gf;Göpfritz
Gfl;Groß St Florian
Gg A1;AB (Awanst)
Gg;Golling-Abtenau
G G;Grenze ÖBB-GKB im km 211,617
Gg K2;Tenneck (Awanst)
Gg L1;Sulzau Lst (Awanst)
G;Graz Hbf (in G)
Gg S11;Sbl Gg 1
Gg S12;Sbl Gg 1
Gg S31;Sbl Gg 3
Gg S32;Sbl Gg 3
Gg S51;Sbl Gg 5
Gg S52;Sbl Gg 5
Gg U2;Üst Gg 2
Gg U4;Üst Gg 4
G H1;Graz Don Bosco (in G)
Gh;Szentgotthard
Gh Z9;Szombathely
Gi;Graz-Vbf (in G)
Gk A1;AB (Awanst)
Gkf;Graz Köflacherbf
Gkf H1;Graz Wetzelsdorf
Gkf H2;Graz Webling Hst
Gkf S11;Sbl Gkf 1
Gkf S12;Sbl Gkf 1
Gkf S1;Sbl Sgg 1
Gk;Grieskirchen-Gallspach
Gk H1;Obertrattnach-M Hofk
Gk S11;Sbl Gk 1
Gk S12;Sbl Gk 1
Gk S31;Sbl Gk 3
Gk S32;Sbl Gk 3
Gk U2;Üst Gk 2
Gla;Glanegg
Gla H1;Mautbrücken
Gld A1;AB (Awanst)
Gld A2A;AB (Awanst)
Gld A2;AB (Awanst)
Gld A3;AB (Awanst)
Gld G;Grenze ÖBB-STLB Km 221,449
Gld;Gleisdorf
Gld H1;Hst außer Betrieb
Gld Z9;Weiz Stadt
Gli;Graz Stadion Liebenau (in Gob)
Gl;Linz Vbf-Gleisdreieck (in Lzv)
Glo;Gloggnitz
Glo H1;Schlöglmühl
Glo S11;Sbl Glo 1A
Glo S12;Sbl Glo 1A
Glo S21;Sbl Glo 2A
Glo S22;Sbl Glo 2A
Gm A1N;AB (Awanst)
Gm E1;Km 2.093
Gm;Gmünd N.Ö.
Gm G;Staatsgrenze nächst Gmünd N.Ö.
Gm H1;Ehrendorf
Gm H2;Dietmanns
Gm H3;Eichberg bei Weitra
Gmi;Graz-Fbf (in G)
Gm K1;Alt-Weitra (Awanst)
Gng;Gösing (Gf)
Gng H1;Wienerbruck-Josefsberg
Gng H2;Erlaufklause
Gng K1;Annaberg
Gn;Gramatneusiedl
Gn H1;Reisenberg-Marienthal
Gn S11;Sbl Gn 1
Gn S12;Sbl Gn 1
Gob A1;AB (Awanst)
Gob;Graz Ostbf-Messe (in Gob)
Gob H1;Graz Liebenau-Murpark (in Gob)
Goe;Götzendorf (in Goe)
Goe H1A;Trautmannsdorf a.d.L.
Goe H1;Sarasdorf
Goe H2;Wilfleinsdorf
Goe L1;Gleisende km 29,074
Goe S11;Sbl Goe 1
Goe S12;Sbl Goe 1
Goe S31;Sbl Goe 3
Goe S32;Sbl Goe 3
Goe U2;Üst Goe 2
Goe W1;Abzww Str 11815 (in Goe)
Gof;Gosdorf
Gof H3;Purkla
Go H1;Mönchhof Hst
Goi;Bad Goisern
Goi H1;Goisern Jodschwefelbad
Goi H2;Lauffen
Gol;Bruckberg Golfplatz
Got A1;AB (Awanst)
Got;Götzis
Got H1;Altach
Gp;Garmisch-Partenkirchen
Gp H1;Garmisch-Partenkirchen Hausberg
Gp H2;Untergrainau
Gra;Grafenstein
Gra H1;Klagenfurt Ebenthal (in Kt)
Grb;Gröbming
Grb H1;Pruggern
Grb H2;Aich-Assach
Gre;Greifenburg-Weißensee
Grg;Groß Gerungs
Gr;Göllersdorf
Gr H1;Breitenwaida
Grn;Gresten-Gleisgr 101
Gro;Griesen (Oberbay)
Gro G;Staatsgrenze nächst Ehrwald-Zugspitzbahn
Grr;Großreifling
Gr S11;Sbl Gr 1
Gr S12;Sbl Gr 1
Grs;Groß Schweinbarth
Gru A1;AB
Gru;Grünbach am Schneeberg
Gru H1;Grünbach Schule
Gru H2;Grünbach Kohlenwerk
Gru H3;Pfennigbach
Gs;Schwechat (in Kls)
Gst;Garsten
Gsy;Gstadt
Gsy H1;Kreilhof
Gsy H2;Vogelsang
Gt;Gutenstein
Gtt;Gattendorf
Gtt H1;Pama
Gtt L1;Pama Lst (Awanst)
Gu A1;AB (Awanst)
Gud;Guntersdorf
Gud H1;Platt (in Zd)
Gue;Grünau im Almtal
Gu;Gummern
Guk;Guntramsdorf-Kaiserau (in Guk)
Guk H1;Guntramsdorf-Kaiserau Haltestelle (in Guk)
Guk H2;Möllersdorf Aspangbahn
Gun;Gunskirchen
Gun S11;Sbl Gun 1
Gun S12;Sbl Gun 1
Gur A1;AB (Awanst)
Gur;Gurten
Gur H1;Geinberg
Gu S11;Sbl Gu 1
Gu S12;Sbl Gu 1
Gu Z2;Abzw Gu 2
Gw;Gratwein-Gratkorn
Gw H1;Judendorf-Straßengel
Gw S11;Sbl Gw 1
Gw S12;Sbl Gw 1
Gz;Gmunden
Gz H1;Pinsdorf
Gzs;Graz-Süd (in G)
H A1;AB (Awanst)
Had A1;AB (Awanst)
Had H1;Breitwiesen
Had H2;Finklham
Had H3;Breitenaich
Had H4;Kalköfen-Daxberg
Had H5;Lahöfen
Had;Haiding
Had S11;Sbl Had 1
Had S12;Sbl Had 1
Had U2;Üst Had 2
Haf;Haugsdorf
Hah;Haslach
Hai H1;Hainburg a.d.Donau Personenbf
Hai H2;Hainburg a.d.Donau Ungartor
Hai;Hainburg a.d.Donau Kulturfabrik
Hak;Handelskai (in Wv)
Hal;Halbenrain
Har;Hartberg
Hat;Habachtal-Weyerhof
Hau;Haus
Hau S11;Sbl Hau 1
Hau S12;Sbl Hau 1
Haz H1;Hengsthütte
Haz;Hauslitzsattel
Hba;Hollersbach
Hbb;Heiligenkreuz-Businesspark
Hbp;Hollersbach Panoramabahn
Hch H1;Pfaffenschwendt
Hch H2;Fieberbrunn
Hch H3;Grieswirt
Hch;Hochfilzen
Hch S11;Sbl Hch 1
Hch S12;Sbl Hch 1
Hch S31;Sbl Hch 3
Hch S32;Sbl Hch 3
Hch U2;Üst Hch 2
Hdd;Abzw Knoten Hadersdorf
Hdd S21;Sbl Hdd 2
Hdd S22;Sbl Hdd 2
Hdd S31;Sbl Hdd 3
Hdd S32;Sbl Hdd 3
Hdd U1;Üst Hdd 1
Hdv;Horni Dvoriste
Hdv Z9;Horni Dvoriste
He;Hegyeshalom
Hen;Hengsberg
Hen S11;Sbl Hen 1
Hen S12;Sbl Hen 1
Her;Hermagor
Het;Wien Hetzendorf (in Wbf)
Hez;Abzw Knoten Hetzendorf
Hez S21;Sbl Hez 2
Hez S22;Sbl Hez 2
Hez S31;Sbl Hez 3
Hez S32;Sbl Hez 3
Hez S91;Sbl Hez 1DL
Hez S92;Sbl Hez 1DL
Hez U1;Üst Hez 1
Hez U4;Üst Hez 4
Hfa H1H;Gedersdorf
Hfa H1;Rohrendorf
Hfa;Hadersdorf am Kamp
Hfa S11;Sbl Hfa 1
Hfa S12;Sbl Hfa 1
Hfg;Wien Hütteldorf Güterzuggruppe (in Hf)
Hf H1A;Wien Speising
Hf H1;Wien Wolf in der Au
Hf H2;Wien Hadersdorf
Hf H3;Wien Weidlingau
Hf H4;Purkersdorf Sanatorium
Hf S11;Sbl Hf 1
Hf S12;Sbl Hf 1
Hf S13;Sbl Hf 21
Hf S14;Sbl Hf 21
Hf S25;Sbl Hf 2
Hf S26;Sbl Hf 2
Hf U22;Üst Hf 22
Hf;Wien Hütteldorf (in Hf)
Hf Z1;Abzw Hf 1
Hg;Bad Hofgastein
Hgr;Hötzelsdorf-Geras
Hgr S11;Sbl Hgr 1
Hgr S12;Sbl Hgr 1
Hg S31;Sbl Hg 3
Hg S32;Sbl Hg 3
Hg Z1;Abzw Hg 1
Hg Z2;Abzw Hg 2
Hg Z4;Abzw Hg 4
H H1H;Hall-Thaur
H H2;Rum
H;Hall in Tirol
Hi;Hieflau (in Hi)
Him;Himberg
Him S11;Sbl Him 1
Him S12;Sbl Him 1
Hin;Hintergasse
Hi W1;Abzww Hieflau (in Hi)
Hk A1;AB (Awanst)
Hka G;Staatsgrenze nächst Deutschkreutz
Hka;Harka
Hk H1;Rosenau
Hk H2;Sonntagberg
Hk H3;Böhlerwerk a.d.Ybbs
Hk;Hilm-Kematen
Hl H1A;Hallein Burgfried
Hl H2A;Bad Vigaun
Hl H3;Kuchl Garnei
Hl H5;Kuchl
Hl;Hallein
Hl L4;Kuchl Lst (Awanst)
Hl S11;Sbl Hl 1
Hl S12;Sbl Hl 1
Hl S21;Sbl Hl 2
Hl S22;Sbl Hl 2
Hl S41;Sbl Hl 4
Hl S42;Sbl Hl 4
Hl S51;Sbl Hl 5
Hl S52;Sbl Hl 5
Hl U3;Üst Hl 3
Hlu;Haslau an der Donau (in Mae)
Hm;Hetzmannsdorf-Wullersdorf
Hna;Horn
Hnd;Hennersdorf (in Id)
Hnf;Hernals-Fbf (in Hns)
Hn H2;Rainfeld-Klein Zell
Hn;Hainfeld
Hns;Hernals (in Hns)
Hoe H1;Oftering
Hoe;Hörsching
Hoe S11;Sbl Hoe 1
Hoe S12;Sbl Hoe 1
Hoe S21;Sbl Hoe 2
Hoe S22;Sbl Hoe 2
Hog H1;Mainburg
Hog;Hofstetten-Grünau (Gf)
Ho H1;Ober Radlberg
Ho;Herzogenburg (in Ho)
Hoh;Herzogenburg-Süd (in Ho)
Hol H1;Leithen
Hol;Hochzirl
Hom H1;Hst außer Betrieb
Hom H2;Hst außer Betrieb
Hom;Hörmanns
Hor;Unter Radlberg (in Ho)
Hos H1;Hatlerdorf
Hos H2;Dornbirn-Schoren (in Do)
Hos;Hohenems
Hos Z1;Abzw Hos 1
Hp H1;Wörgl Süd - Bruckhäusl
Hp;Hopfgarten
Hp U1;Üst Hp 1
Hr;Hieflau Vbf (in Hi)
H S11;Sbl H 1
H S12;Sbl H 1
H S31;Sbl H 3
H S32;Sbl H 3
Hsc;Hochschneeberg
Hst;Hinterstoder
Ht H1;Wien Oberdöbling
Ht H2;Krottenbachstraße
Ht H3;Gersthof
