Abréviation;Définition
CHV;Chaville Velizyg
CHX;Chamonix Mont Blancg
CHZ;Charency Vezing
CIA;Chiassog
CIB;Chailly Boissyg
CIC;Chalaisg
CI;Crisseg
CIL;Cornilg
CIM;Courcy Brimontg
CIN;Chevillong
CIR;Chateau Gontierg
CIS;Comines Franceg
CIT;Ceintreyg
CIU;Cessieug
CIX;Croix-L'Allumetteg
CIZ;Civauxg
CJ;Conflans Jarnyg
CJD;Chasseradesg
CJM;Charny Sur Meuseg
CJN;Changis St Jeang
CJV;Cergy Le Hautg
CKN;Chabonsg
CKR;Creysse Mouleydierg
CLA;Clamecyg
CLB;Couliboeufg
CLC;Crecy La Chapelleg
CL;Creilg
CLE;Clermont Ferrandg
CLF;Charleroig
CLI;Clissong
CLK;Caillacg
CLN;Culang
CLO;Cloyesg
CLQ;Clabecqg
CLR;Choisy Le Roig
CLS;Challansg
CLT;Cercy La Tourg
CLU;Clusesg
CLX;Chatelet-Les Hallesg
CLY;Chantilly Gouvieuxg
CMA;Clamartg
CM;Chalons En Champagneg
CME;Champagne Sur Seineg
CMF;Chevremontg
CMG;Chambourgg
CMK;Chatillon De Michailleg
CMM;Calais Maritimeg
CMO;Charmontg
CMR;Colmarg
CMS;Clelles Mensg
CMX;Carmauxg
CMY;Commentryg
CNA;Chanacg
CNB;Les Cabannesg
CN;Caeng
CNC;Conchil Le Templeg
CND;Condrieug
CNE;Chalonnesg
CNG;Carlingg
CNK;Canting
CNQ;Couerong
CNS;Carnoulesg
CNX;Chemin Peseuxg
CNY;Chaunyg
COA;Carbonneg
COB;Connerre Beilleg
COE;Corbeil Essonnesg
COG;Cognacg
COH;Couhe Veracg
COI;Couiza Montazelsg
COJ;Continental Junctiong
COK;Courcelles Le Comteg
COL;Colomiersg
COM;Condomg
COO;Chatillon Sur Loireg
COQ;Ceilhes Roqueredondeg
COU;Coutrasg
CPA;Cormeilles En Parisisg
CPC;Calonne Ricouartg
CPE;Compiegneg
CPG;Champagnoleg
CPH;Cannes Marchandisesg
CPM;Champ De Mars-Tour Eiffelg
CPN;Capverng
CPQ;Cambo Les Bainsg
CPR;Courpiereg
CPT;Chaponostg
CPV;Champvans Les Doleg
CPX;Chapeaurouxg
CQA;Courghaing
CQL;Cormelles (Embt)g
CQM;Cinq Marsg
CQR;Cap Martin Roquebruneg
CQS;Les Cauquillousg
CRA;Cramansg
CRC;Cerencesg
CR;Chambery Challes Les Eauxg
CRD;Casselg
CRG;Chorgesg
CRN;Couronne (Voies Des Quais)g
CRO;Chivres En Laonnoisg
CRQ;La Couronne Carrog
CRR;Carry Le Rouetg
CRS;Cleresg
CRT;Chatelleraultg
CRU;Crouyg
CRW;Croix Wasquehalg
CRX;Carhaixg
CRY;Charny Yonneg
CRZ;Cransacg
CS;Calais Villeg
CSC;Chateauneuf Sur Charenteg
CSD;Caussade(Tarn Et Garonne)g
CSE;Cesseins Prs 27g
CSG;Chelles Gournayg
CSH;Conflans Ste Honorineg
CSI;Cassisg
CSJ;Cousanceg
CSL;Chateauneuf Sur Loireg
CSP;Courtalain Poste 17 Prsg
CSQ;Cousolreg
CSR;Chasse Sur Rhoneg
CSS;Chalon Sur Saoneg
CSY;Champigny Sur Yonneg
CTA;Clermont En Argonneg
CTB;Chateaubriantg
CT;Castres(Tarn)g
CTD;Chateaurenardg
CTE;Chateletg
CTF;Chatresg
CTG;Chateaubourgg
CTH;Chateau Thierryg
CTL;Chatelaillong
CTM;Chateaumeillantg
CTN;Castelsarrasing
CTO;Chantonnayg
CTR;Chateaurenaultg
CTT;Cattenieresg
CTU;Castelnau Riviere Basseg
CTX;Contrexevilleg
CTY;Castelnaudaryg
CTZ;Courthezong
CUA;Cruasg
CU;Churg
CUD;Cauderan Merignacg
CUG;Combourgg
CUH;Cuinchyg
CUI;Cuiseauxg
CUL;Caulnesg
CUN;Chateaudung
CUO;Cuneog
CUS;Coulombiersg
CUT;Cussetg
CUZ;Culozg
CVA;Chateau La Valliereg
CVB;Courville SUR EURE
CV;Chevryg
CVD;Chavagnes Les Redouxg
CVE;Chevrieresg
CVI;Chaville (R.G.)g
CVJ;Chevigny St Sauveurg
CVL;Clervalg
CVN;Cavaillong
CVO;Chavenong
CVP;Concoules Ponteilsg
CVR;Charbonnieres Les Varennesg
CVU;Chennevieres Sur Marneg
CVX;Clairvauxg
CVY;Chevillyg
CWF;Cerbere Ieg
CWP;Courtalain St Pelering
CX;Chateaurouxg
CXR;Charix Lalleyriatg
CXV;Corcieux Vanemontg
CYA;Chepy Valinesg
CYB;La Clayette-Baudemontg
CYC;Cergy St Christopheg
CY;Culmont Chalindreyg
CYD;Civry St Cloudg
CYG;Cysoingg
CYL;Ciry Le Nobleg
CYM;Checy Mardieg
CYO;Cramoisyg
CYP;Cergy - Prefectureg
CYQ;Couilly St Germaing
CYS;Ciry Sermoiseg
CYT;Courtenayg
CYU;Crepy Couvrong
CYV;Crepy En Valoisg
CYY;Chevry Cossignyg
CYZ;Chezy Sur Marneg
CZB;Courzieu Brussieug
CZC;La Chaize Le Vicomteg
CZD;Couzeg
CZE;Correzeg
CZG;Cazeres Sur Garonneg
CZM;Chazay Marcillyg
CZN;Coarraze Nayg
CZQ;Cize Bolozong
CZR;Ceyzeriatg
CZX;Les Clouzeauxg
CZY;Cezyg
DA;Dourdan LA FORET
DAL;Darnetal
DAM;Dammartin JUILLY ST MARD
DAN;Dannemarie
DAO;Daours
DAR;Darsac
DAX;Dax
DAY;Darcey
DBE;Dole LA BEDUGUE
DBV;Domblans VOITEUR
DC;Dannes CAMIERS
DDI;Dordives
DDJ;Dardilly LE JUBIN
D;Dourdan
DDP;Dijon PORTE D'OUCHE PERRIGNY
DDT;Dourges DELTA 3
DDY;Dardilly
DE;Dieppe
DEE;Dettwiller
DEL;Delle
DEN;Denain
DEO;Deols
DEV;Desvres
DEY;Donchery
DFR;Denfert ROCHEREAU
DGC;Digne (CFP)
DGE;Dange
DGN;Digne
DGS;Donges
DGT;Daufage LE GOULET
DGU;Dangeau POSTE 16 PRS
DIG;Digoin
DIS;Distroff
DIU;Diou
DKM;Dunkerque FERRY
DKQ;Dunkerque
DLE;Dole VILLE
DLL;Dollon POSTE32 PRS
DLN;Doulon
DLT;Darlington
DLZ;Deluz
DM;Dollands MOOR
DMO;Domont
DMR;Dompierre NORD
DN;Dijon 
DNE;Dinge
DNJ;Donjeux
DOA;Domodossola
DOC;Docelles CHENIMENIL
DOD;Dortmund
DO;Douai
DOE;Donzere
DOL;Dol
DOM;Domene
DON;Don SAINGHIN
DOP;Dompierre SEPT FONS
DOR;Dormans
DOS;Doullens
DOU;Dourges
DOZ;Douzies
