Abréviation;Définition
GCR;Acheres GRAND CORMIER
GCX;Grand CROIX
GDA;Gadagne
GDE;Gran PRE
GDG;Gandrange AMNEVILLE
GDM;Gudmont
GDN;Gardanne
GDP;Grandpuits
GEA;Germaine
GEC;Generac
GEG;Guerigny
GE;Grenoble
GEI;Gresswiller
GEL;Genelard
GEM;Gemozac
GEN;Gennevilliers
GES;Gestel
GEV;Gevrey TRIAGE
GEX;Gex
GEY;Gresy SUR ISERE
GEZ;Gerzat
GFY;Gennes LONGUEFUYE
GGP;Guingamp
GGV;Gargenville
GHL;Saint GHISLAIN
GIA;Giat
GIC;Givors CANAL
GID;Gironde
GIE;Gien
GIL;Gilley
GIS;Gisors
GIT;Gironcourt HOUECOURT
GIV;Givors VILLE
GLD;Grenade SUR L ADOUR
GLF;Golfe JUAN VALLAURIS
GLO;Glos MONTFORT
GLS;Genlis
GMC;Garches MARNES LA COQUETTE
GME;Merelbeke
GMX;Gemeaux
GNA;Grenay (lgv)
GNC;Genolhac
GND;Gent ST PIETERS
GN;Gagny
GNO;Genes
GNS;Gannes
GOC;Goncelin
GOF;Gournay FERRIERES
GO;Gourdon
GON;Gondrecourt LE CH+TEAU
GOU;Goussainville
GPB;Grandpuits BAGNEAUX
GP;Garage GRAND PONT
GPJ;Gravenchon PORT JEROME
GPL;La PLAINE
GPP;Halte DE GRAND PONT
GPR;Geneve LA PRAILLE
GRA;Grasse
GRD;Grand QUEVILLY
GRF;Graffenstaden
GRG;Gremberg
GR;Gray
GRI;Grisolles
GRM;St GERMAIN EN LAYE BEL AIR FOU
GRR;Gerard
GRS;Grenoble UNIVERSITES GIERES
GRT;Gramat
GRV;Granville
GRY;Grainville YMAUVILLE
GS;Gievres
GSL;Gilly SUR LOIRE
GST;Le GENEST
GSY;Dunkerque GRANDE SYNTHE
GTC;Groisy THORENS LA CAILLE
GT;Gueret
GTS;Gouttieres
GUA;La GUERCHE SUR L'AUBOIS
GUF;Gundershoffen
GU;Guillerval
GUH;La GUIERCHE
GUI;Guignicourt AISNE
GUJ;Gujan MESTRAS
GUT;Guillaucourt
GUY;Gouvy
GVA;La GRAVE D'AMBARES G.I.
GVI;Geneve EAUX VIVES
GVL;Gravelines
GVS;Graveson MAILLANE
GVT;Givet
GXW;Goxwiller
GY;Giromagny
GZA;Gazeran
GZE;Gent ZEEHAVEN
GZ;Gretz ARMAINVILLIERS
HAB;Habsheim
HAF;Harfleur
HAG;Haguenau
HAH;Hambourg
HAI;Hymont MATTAINCOURT
HAM;Ham SOMME
HAN;Hanovre
HAR;Houilles CARRIERES SUR SEINE
HAS;Hangest
HAT;Hautmont
HAU;Haubourdin
HAY;Hayange
HBE;Henin BEAUMONT
HB;Hombourg
HCH;Hochfelden
HCT;Hericourt
HDE;Hourcade TRIAGE
HDM;Hildesheim
HDT;Houdemont
HEC;Heilles MOUCHY
HE;Hendaye
HEL;Hellemmes
HEN;Hennebont
HER;Hericy
HES;Hesdigneul
HET;Hettange GRANDE
HEY;Heyrieux
HFE;Honfleur
HGD;Hagondange
HGI;Hargicourt PIERREPONT
HGP;Hondeghem
HGT;Hargarten FALCK
HGU;Hagetmau
HI;Hirson
HIL;Huriel
HIN;Huningue
HMG;Heming
HMT;Hoenheim TRAM
HN;Hausbergen
HOA;Houdan
HOD;Hoerdt
HOE;Houlgate
HOH;Hombourg HAUT
HOM;Homecourt
HOU;Les HOUCHES
HP;Hendaye PLAGE
HPI;Tgv HAUTE PICARDIE
HRB;Hermes BERTHECOURT
HRL;Herrlisheim BAS RHIN
HRY;Herblay
HSD;Hesdin
HSL;Haussmann ST-LAZARE
HTB;Le HAUT BANC
HTF;Le CHATELARD-FRONTIERE
HUS;Hunspach
HYD;La HAYES DESCARTES
HYE;Hyeres
HY;Herny
HYL;Le CHEYLAS LA BUISSIERE
HZK;Hazebrouck
IAC;Isles ARMENTIERES CONGIS
IA;Igney AVRICOURT
IAP;L'ISLE ADAM PARMAIN
IBY;Beny AIG IPCS
ICH;Incheville
IFH;Illfurth
IGA;Ingrandes SUR LOIRE 
IG;Ingrandes SUR VIENNE
IGW;Ingwiller
IK;Innsbruck
IKN;Interlaken
ILC;Illiers COMBRAY
ILL;Ille SUR TET
IMC;Ingersheim CITE SCOLAIRE
IMN;Immendingen
INA;Ile NApôleON
INGP;Ingenierie DE LA PROPRETE
IN;Irun
INV;Invalides
IPY;Imphy
ISD;L'ISLE SUR LE DOUBS
IS;Issoudun
ISL;Les ISLETTES
ISP;Issy VAL DE SEINE
ISR;Istres
ISS;Issoire
IST;Is SUR TILLE
ISY;Issy
ITX;Itxassou
IV;Ivry SUR SEINE
IWY;Iwuy
IZE;Izel LES ESQUERCHIN PRCI 26
IZ;St SULPICE IZON
JAE;Juan LES PINS
JAI;Jessains
JA;Jarville LA MALGRANGE
JAL;Jalons LES VIGNES
JAN;Janville
JAS;Jouy EN JOSAS
JAU;Jaunay CLAN
JAV;Jarrie VIZILLE
JC;Jarnac CHARENTE
JDZ;Jeandelize
J;Joinville HTE MARNE
JLT;Joue LES TOURS
JMS;Jemeppe-SUR-SAMBRE
JOF;Joeuf
JOI;Joigny
JO;Jonzac
JOY;Jouy
JRD;Jardres
JSM;Jouy/MORIN LE MARAIS
JSX;Jassonneix
JT;Jeumont
JUG;St JULIEN SUR GARONNE
JUS;Jussey
JUZ;Juziers
JY;Juvisy
JYV;Jonchery SUR VESLE
JZE;Janze
KAN;Andernach
KAP;Ep. CAMP MILIT. DE CARPIAGNE
KAW;Aachen WEST
KB;Coblence
KDG;Kedange
KDO;Dormagen
KDZ;Koeln DEUTZ
KE;Kehl
KEN;Kogenheim
KER;Koenigsmacker
KH;Karlsruhe
KHO;Kerhuon
KHS;Kalhausen
KIN;Kinkempois
KKA;Kall
KKE;Koln EIFELTOR
KKM;Koblenz MOSEL
KKO;Koblentz-LUETZEL
KKR;Krefeld-LINN
KKV;Koln KALK NORD
KMD;Couzon AU MONT D OR
KNF;Strasbourg KOENIGSHOFFEN
KNG;Neuss GBF
KOL;Cologne
KOO;Coolus
KOR;Corte
KOT;Kontich
KPL;Lardenne
KR;Kruth
KRM;Krimeri MEINAU
KST;Stolberg
KZG;Kuntzig
KZZ;Casamozza
LAA;Lamativie
LAB;Les AUBRAIS ORLEANS
LAC;Les ARCS-DRAGUIGNAN
LAD;Les ARDOINES
LAE;L'AIGLE
LAF;Lafarge
LAG;Langres
LAH;Lamarche VOSGES
LAI;Laigneville
LAL;Laval
LAM;Lamballe
LAO;Laon
LAQ;Laqueuille
LAR;Laroche MIGENNES
LAS;Les ANCIZES-ST-GEORGES
LAT;La CHARITE
LAU;Lausanne
LAW;Lapeyrouse MORNAY (lgv (GARE));
LAX;Labarthe INARD
LAY;Landry
LAZ;Lamure SUR AZERGUES
LBA;Labarthe AVEZAC
LBB;La BOURBOULE
LBD;Le BOUSQUET D'ORB
LBE;La BAULE ESCOUBLAC
LBF;La BARQUE FUVEAU
LBG;Labruguiere
LBH;Labouheyre
LBI;La BASSE INDRE ST HERBLAIN
LBK;Lambersart
LB;Lamotte BEUVRON
LBL;L'ARBRESLE
LBM;La BEAUME
LBN;Labenne
LBO;La BRILLANNE-ORAISON
LBP;Le BOULOU-PERTHUS
LBR;La BROHINIERE
LBS;La BASTIDE-ST-LAURENT-LES-B.
LBT;Le BOURGET
LBU;Le BUISSON
LBW;La MOTTE
LBY;Les BARDYS
LCA;Le CATEAU
LCB;Celle ST CLOUD
LCC;Le CROISIC
LCD;La CHAUX DE FOND
LCF;Le CHAMBON-FEUGEROLLES
LCI;Le CAILAR
LCJ;Luce
LCK;Les LACS
LCM;Le CREUSOT-MONTCEAU-MONTCHAN (GARE)IN;
LCN;La COURONNE
LCO;La COURTINE
LCP;La CHAPELLE LA REINE
LCQ;La COQUILLE
LCR;Le CREUSOT
LCS;La CHAPELLE ST MESMIN
LCU;Le COTEAU
LCV;La CHAPELLE VENDOME
LCW;Lancey
LCX;Lus LA CROIX HAUTE
LCY;La COUR D'ARCENAY
LDB;Landebia
LDC;Loudeac
LDD;Landas
LDE;Landerneau
LDH;La CHAPELLE DU CHENE
LDI;Landivisiau
LD;Lourdes
LDM;Landevant
LDN;Liverdun
LDO;Luc EN DIOIS
LDT;Le DORAT
LDU;La DEFENSE
LDV;Lille DELIVRANCE
LDX;Le LANDY
LDY;Le RODY
LDZ;La RIVIERE DE MANSAC
LED;La CHAPELLE /ERDRE
LEE;L'ARGENTIERE LES ECRINS
LEF;Leforest
LEG;Les GRESILLONS
LEH;La MOTHE ACHARD
LEI;Le CELLIER
LE;Lille FLANDRES
LEO;La VAVRETTE-TOSSIAT
LEP;Le POIRIER UNIVERSITE
LEQ;Lesquin
LER;Lerouville
LES;L'ESTAQUE
LEU;Le THEIL LA ROUGE
LEV;Longueville SUR SCIE
LEW;Lille-EUROPE
LEX;Lexos
LEY;Leyment
LEZ;Lezoux
LFA;La FERTE-ALAIS
LFB;La FERTE BERNARD
LFF;Liffol LE GRAND
LFG;La FERTE GAUCHER
LFH;La FERTE-HAUTERIVE
LFI;La FOUILLOUSE
LFJ;La FERTE SOUS JOUARRE
LFM;La FERTE MILON
LFN;La FREISSINOUSE
LFO;La FOLIE MARCHANDISES
LFR;Lovagny GORGES DU FIER
LFS;La FERTE ST AUBIN
LFV;L'ISLE FONTAINE DE VAUCLUSE
LGC;Grand COMBE LA PISE
LGD;La GARDE
LGG;Langogne
LGH;Lingolsheim
LGJ;Liguge
LGK;La GARENNE COLOMBES
LG;Langon
LGL;Le GRAND LEMPS
LGM;Labergement STE MARIE
LGN;Longuyon
LGO;La GOUESNIERE-CANCALE-ST M.
LGP;Longpre LES CORPS SAINTS
LGR;Le GRAU DU ROI
LGS;Langeais
LGU;Lagnieu
LGV;Lorraine TGV
LGY;Lagny THORIGNY
LHB;L'HERBERGEMENT LES BROUZILS
LHC;Lahonce
LHD;La ROCHE DE GLUN
LHF;Lamothe (BIF)
LHG;Le HAVRE GRAVILLE
LHI;La BATHIE
LH;Le HAVRE
LHL;L'HERMITAGE-MORDELLES
LHN;Louhans
LHO;L'HOPITAL-DU-GROSBOIS
LHR;Le CHATELET
LHT;L'HOSPITALET PRES L'AND.
LHU;La HUTTE COULOMBIERS
LHY;La MOTHE ST HERAYE
LHZ;Larche
LIA;Liancourt RANTIGNY
LIB;Libercourt
LID;Lille SUD
LIE;Liege
LIG;Le POULIGUEN
LII;La MOTTE STE ROSELINE
LIJ;L'ISLE JOURDAIN(GERS)
LI;Libourne
LIM;Limay
LIN;Lessinnes
LIR;Liart
LIT;Libramont
LIU;Lieusaint MOISSY
LIV;Livron
LIX;Lavilledieu
LIY;Ligny
LJA;Laplace
LJU;Longjumeau
LLA;Les LAUMES ALESIA
LLB;La MILESSE LA BAZOGE
LLC;Laval DE CERE
LLE;La LEVADE
LLH;La CHAPELLE ANTHENAISE
LLK;Lalinde
LL;Leval
LLL;Lillers
LLN;Le LIORAN
LLO;Le LOCLE
LLP;La LOUPE
LLQ;Laluque
LLR;Les LONGEVILLES-ROCHEJEAN
LLS;Lons LE SAUNIER
LLT;Le MERLERAULT
LLU;La CLUSE VILLE
LLX;Lussac LES CHATEAUX
LLY;Loulay
LLZ;Loos LES LILLE
LMA;La MADELEINE NORD
LMB;Lamotte BREUIL
LMD;Le MONT DORE
LMG;Lemberg MOSELLE
LMH;Lamothe MONTRAVEL
LMJ;Limoges MONTJOVIS
LM;Le MANS
LMN;Lamanon
LMR;Le MONASTIER
LMS;Lumes
LMU;Les MUREAUX
LMX;Limoux
LMY;Le MUY
LND;Landau
LNE;Luneville
LNG;Langeac
LNI;Lannion
LNK;Leffrinckoucke
LN;Lyon-GUILLOTIERE
LNN;Longages NOE
LNQ;Lalbenque FONTANES
LNR;Landrecies
LNS;Lens
LNT;Lacourtensourt
LNV;Laneuveville DEVANT NANCY
LNY;Lunery
LNZ;Lannemezan
LOC;Le LOCLE-COL DES ROCHES
LOD;Loudun
LOG;Longroy GAMACHES
LOH;Lamothe LANDERRON
LOI;Loire POSTE 1
LOL;Loriol
LO;Loches
LON;Longueville SEINE ET MARNE
LOO;Loison
LOQ;Ladon
LOR;Lorcy.
LOS;Loisy SUR MARNE
LOT;Lothiers
LOU;Lourches
LOV;Louvres
LOW;Lamotte BREBIERE
LOZ;Lozanne
LPA;Luc PRIMAUBE
LPC;Le PLANT CHAMPIGNY
LPE;Le PERRAY
LPH;La PAULINE HYERES
LPI;La CHAP.ST URSIN M.
LP;Laguepie
LPL;Lepin LE LAC LA BAUCHE
LPM;Lyon-PER.MARCHANDISES
LPN;La PLAINE STADE DE FRANCE
LPO;La POSSONNIERE
LPR;Lyon-PERRACHE
LPS;Le PALAIS
LPT;Le PONTET
LPU;Le PUY EN VELAY
LPV;Lepanges
LPW;Lapradelle
LPX;Lapalisse ST PRIX
LPY;Lapeyrouse
LPZ;Le POUZIN
LQB;Laroquebrou
LQ;Lacq
LQR;Les QUATRE ROUTES
LQT;Les COQUETIERS
LQY;Le QUESNOY NORD
LRB;La ROCHE-EN-BRENIL
LRD;L'ARDOISE
LRF;La ROCHE-SUR-FORON
LRG;Le ROUGET
LRI;Liernais
LR;La ROCHELLE VILLE
LRL;La MEMBROLLE SUR CHOISILLE
LRM;La RICAMARIE
LRN;Laragne
LRO;La ROCHEFOUCAULD
LRP;La ROCHELLE PALLICE
LRQ;Laroque
LRS;Les RELAIS(S/STATION)
LRT;La RIVIERE THIBOUVILLE
LRY;La ROCHE SUR YON
LRZ;Lubersac
LSA;Lille ST SAUVEUR
LSB;Grigny - LE SABLON
LSC;Lyon ST CLAIR
LSD;Le STADE
LSE;Lesparre
LSF;Les IFS
LSG;Laigne ST GERVAIS
LSI;Les ESSARTS LE ROI
LS;Limoges BENEDICTINS
LSL;Le SOLER
LSM;La SEYNE-SIX FOURS
LSN;Lison
LSO;Les SABLES D'OLONNE
LSP;Lyon ST PAUL
LSR;Lescar
LSS;London ST PANCRAS
LST;La SOUTERRAINE
LSU;Lisle SUR TARN
LSZ;La SUZE
LTA;La TAYE
LTC;Le TOEC
LTD;Letrade
LTE;Le TEIL (ARDECHE)
LTG;Lauterbourg
LTH;Le THOR
LTL;La TOUR DE CAROL ENV.
LT;Lorient
LTM;Le TREPORT MERS
LTP;La TOUR DU PIN
LTR;La TRICHERIE
LTS;Les FONTINETTES
LTX;Lorette
LUA;Longueau
LUC;Luchon
LUD;Ludres
LUE;Longueil STE MARIE
LUG;Luzenac GARANOU
LUH;Luche
LUI;Lusignan
LUK;Luant
LUL;La VAUVELLE
LU;Longue
LUM;Lumbres
LUN;Lunel
LUQ;Lumes VOYAGEURS
LUR;Lure
LUT;Lutterbach (HAUT RHIN)
LUV;La CRAU
LUW;Ludwigshafen RHEI
LUX;Luxembourg(CFL)
LUY;Luzy NIEVRE
LUZ;Luzarches
LVA;Le VAURIAT
LVB;Laveline DEVANT BRUYERES
LVC;La VARENNE CHENNEVIERES
LVD;Le VERDON
LVF;Lavaufranche
LVG;Lavardac
LVH;Paris LA VILLETTE HEBERT
LVL;La VOUTE SUR LOIRE
LV;Lyon VAISE
LVN;Le VALDAHON
LVO;La VOULTE-SUR-RHONE
LVR;Lavaur
LVU;Lavalduc
LVX;Louverne
LVY;Laissac
LVZ;La VARENNE CHENNEVIERES RER
LW;La WANTZENAU
LWN;Louvain
LWO;Waterloo INTERNATIONAL
LWU;Ludwigshafen BASF
LWX;Linay
LWY;Longwy
LXB;Louroux DE BOUBLE
LXC;Luxe
LX;Lisieux
LXL;Luxeuil LES BAINS
LXM;Lavaveix LES MINES
LXR;La CHAUX-DES-CROTENAY
LXS;Le MEUX LA CROIX ST OUEN
LYB;Lespouey LASLADES
LYD;Lyon PART DIEU
LYG;Layrac
LYI;Lucay LE MALE
LYL;Lyon GORGE DE LOUP
LYO;Lardy
LYP;L'EYSSELLE
LYQ;Livry SUR SEINE
LYV;Les YVRIS NOISY LE GRAND
LYZ;Longeray LEAZ
LZA;Lezignan (AUDE)
LZC;Lezignan LA CEBE
LZE;Lamonzie ST MARTIN
LZI;Lezinnes
LZL;Larzalier
LZ;Lutzelbourg
LZN;Luzern
LZO;Lizy SUR OURCQ
LZR;La MIOUZE-ROCHEFORT
LZS;Lezennes
LZY;Liesse GIZY
MAA;Marseille MME ARENC
MAC;Macon-VILLE
MAD;Madrid
MAE;Maule
MAF;Martigne FERCHAUD
MAG;Magenta
MAH;Marbache
MAI;Marseille EN BEAUVAISIS
MAK;Maurois
MAL;Malesherbes
MAN;Mannheim
MAP;Maisons ALFORT POMPADOUR
MAQ;Mareuil SUR OURCQ
MAS;Miramas
MAT;Meursault
MAU;Millau
MAX;Maille
MAZ;Mauze
MBA;Montbard
MBC;Marseille BLANCARDE
MBD;Montbeliard
MBE;Montbeugny
MBF;Munster BADISHHOF
MBG;Maubeuge
MBI;Mesnay ARBOIS
MBL;Montreuil BELLAY
MBN;Montauban
MBO;Malbosc
MBP;Montigny BEAUCHAMP
MBR;Marchezais BROUE
MBY;Monterolier BUCHY
MBZ;Montbizot
MCA;Macau
MCB;Milhac D'AUBEROCHE
MCC;Machecoul
MCD;Mouchard
MCE;Montaignac ST HIPPOLYTE
MCH;Montchanin
MCI;Machilly
MCL;Montastruc LA CONSEILLERE
MCM;Montierchaume
MCP;Marcheprime
MCR;Montcornet
MCT;Marseille MME CANET
MCU;Montescourt
MCV;Marcelcave
MCW;Monceau SUR SAMBRE
MCX;Morcenx
MCZ;Miecaze
MDA;Mont NOTRE DAME
MDB;Montoir DE BRETAGNE
MDC;Monestier DE CLERMONT
MDE;Mende
MDG;Montdauphin GUILLESTRE
MDJ;Mas DE PONGE
MDL;M.REDESSAN MARCHANDISES
MD;Mulhouse DORNACH
MDN;Meudon
MDP;Metz DEVANT LES PONTS
MDS;Musee D'ORSAY
MDT;Montauban DE BRETAGNE
MDY;Montmedy
MEA;Meaux
MEB;Maison ROUGE EN BRIE
MEG;Moneteau GURGY
MEK;Meyrargues CHANTIER PERTHUIS
MEL;Melun
ME;Menars
MEN;Menton
MEP;Monthois
MEQ;La MENITRE
MER;Mer(LOIR ET CHER)
MES;Messac-GUIPRY
MET;Muret
MEU;Maison DIEU
MEV;Merville
MEX;Meximieux PEROUGES
MEY;Meyrargues
MEZ;Mezidon
MFA;Maisons ALFORT ALFORTVILLE
MFS;Montfort SUR MEU
MFT;Montfavet
MFY;Meudon-VAL-FLEURY
MGA;Magalas
MGD;Magland
MGE;Maubourguet
MGH;Marignane
MGL;Meung SUR LOIRE
MG;Moyeuvre GRANDE
MGN;Morgny
MGO;Meuse MONTIGNY LE ROI
MGQ;Magnac VICQ
MGR;Magnette
MGT;Margut FROMY
MGU;Margaux
MGV;Meuse TGV
MGX;Mignaloux NOUAILLE
MGY;Martigny
MHC;Monaco COUNTRY CLUB
MHD;Meulan HARDRICOURT
MHG;Morhange
MHL;Manthes LAPEYROUSE
MH;Misson HABAS
MHN;Meurchin
MHR;Mouthiers(CHARENTE)
MHS;Manchester PICADILLY
MHY;Mehun SUR YEVRE
MIA;Massiac
MIB;Miribel
MIC;Milan
MIE;Montieres
MIH;Manois
MIK;Miraumont
MIN;Miniac
MIP;Le MOULIN DES PONTS
MIS;Miserey
MIW;Miribel (lgv)
MIY;Mailly LA VILLE
MIZ;Muizon
MJJ;Morains AULNAY
MJO;Marseille MME JOLIETTE
MJP;La MEILLERAIE
MKA;Montpezat
MKZ;Montroc LE PLANET
MLA;Marseilles LES AUBIGNY
MLB;Marles EN BRIE
MLC;Mailly LE CAMP
MLF;Maisons LAFFITTE
MLG;Montfort LE GESNOIS
MLH;Macon LOCHE
MLI;Malain
MLM;Montfort L AMAURY MERE
ML;Montlucon
MLO;Malansac
MLP;Mourmelon LE PETIT
MLR;Marly LE ROI
MLS;Monsempron LIBOS
MLU;Montluel
MLV;Meriel
MLW;Le MOLAY LITTRY
MLX;Merens LES VALS
MLY;Manlay
MMA;Montmoreau
MMB;Mimbaste
MMD;Marmande
MME;Montherme
MMF;Malemort LAFFONT
MMH;Marmagne
MMI;Montceau LES MINES
MML;Montmelian
MMM;Montendre
MM;Mont DE MARSAN
MMN;Montmorillon
MMP;Marseille MME MOUREPIANE
MMS;Marmagne SOUS CREUSOT
MMT;Mont SUR MEURTHE
MMZ;Maizieres LES METZ
MNA;Monaco MONTE CARLO
MNE;Maranville
MNF;Moulin NEUF OISE
MNG;Montbartier
MN;Mohon
MNN;Mennetou SUR CHER
MNP;Montpaon
MNQ;Manosque GREOUX LES BAINS
MNR;Monistrol-D'ALLIER
MNS;Morannes
MNT;Menaucourt
MNV;Marnaval
MNY;Mennecy
MNZ;Montbazon
MOA;Moirans
MOB;Montbrison
MOC;Montcaret
MOD;Modane
MOF;Mortcerf
MOH;Mommenheim
MOI;Moissac
MOJ;Mons
MOL;Molsheim
MOM;Montreuil SUR MER
MO;Montrouge CHATILLON
MON;Monnaie
MOO;Montataire
MOQ;Mauco BENQUET
MOR;Moret-VENEUX-LES-SABLONS
MOS;Moutiers-SALINS-BRIDES L.BAINS
MOT;Motteville
MOU;Mouscron
MOV;Morvillars
MOX;Moux (AUDE)
MOY;Moussy PRCI13
MOZ;Morez
MPB;Montbre
MPE;Messempre
MPI;Montpon SUR L'ISLE
MPJ;Mareil MARLY
MPL;Montpellier
MP;Massy PALAISEAU
MPO;Marseille PRADO
MPS;Marolles PRS 12
MPU;Massy PALAISEAU GC
MPW;Massy TGV
MQ;Lambesc SEI 65
MQN;Montaudran
MQS;Marquillies
MQU;Maresquel
MRA;Marsac (DORDOGNE)
MRB;Montrond LES BAINS
MRD;Montrichard
MRE;Moreuil
MRG;Marignier
MRH;Mannheim RHEINAU
MRL;Meyreuil
MR;Marle SUR SERRE
MRM;Maromme
MRQ;Marracq
MRR;Marsac (CREUSE)
MRS;Maurs
MRT;Mormant
MRU;Meru
MRV;Mervans
MRW;Moulin ROUGE
MRX;Marquise RINXENT
MRY;Merrey HTE MARNE
MSA;Moulins SUR ALLIER
MSB;Marignac ST BEAT
MSC;Marseille ST CHARLES
MSD;Monts(INDRE ET LOIRE)
MSE;Mulhouse VILLE
MSH;Marans
MSI;Montreuil SUR ILLE
MSM;Mont ST MARTIN
MS;Montargis
MSN;Maisse
MSO;Montsoult MAFFLIERS
MSP;Malause
MSS;Marssac SUR TARN
MST;Masseret
MSW;Montsurs
MSX;Marolles EN HUREPOIX
MSY;Moulins SUR YEVRE
MTA;Moult ARGENCES
MTB;Montrabe
MTC;Mont LOUIS LA CABANASSE
MTD;Montdidier
MTE;Mantes LA JOLIE
MTG;Martigues
MTJ;Montrejeau GOURDAN POLIGNAN
MTL;Mericourt RIBEMONT
MTN;Maintenon
MTO;Morteau
MTR;Montelimar
MTT;Maastricht
MTU;Montereau
MTV;Montaigu VENDEE
MTX;Monteux
MTY;Mettray
MTZ;Mutzig
MUA;Malaunay LE HOULME
MUE;Mauves SUR LOIRE
MUI;Maroeuil
MUK;Mullheim
MUL;Moulis LISTRAC
MUM;Mundolsheim
MU;Munich
MUN;Mulhouse NORD
MUO;Montoire SUR LE L.
MUR;Murat
MUS;Mussidan
MUT;Munster
MUU;Mouans SARTOUX
MUX;Meroux
MUY;Mouy BURY
MVC;Marne LA VALLEE-CHESSY
MVE;Montville
MVG;Morieres LES AVIGNON
MVJ;Marvejols
MVL;Montivilliers
MVW;Massy VERRIERES
MVX;Montreux VIEUX
MVY;Les MARTRES-DE-VEYRE
MWL;Marais DE LOMME
MW;Monnerville
MWN;Mechelen
MWR;Moustier
MXC;Marlieux CHATILLON
MX;Morlaix
MXN;Magneux
MXO;Montanay (lgv)
MXT;Mont DE TERRE
MXX;Montreux
MYC;Meymac
MYD;Montry CONDE
MYH;Milly SUR THERAIN
MYI;Martigny LES BAINS
MY;Mitry CLAYE
MYN;Millery MONTAGNY
MYO;Montigny EN OSTREVENT
MYR;Millas
MYT;Mayet
MYX;Mussey
MYZ;La MEYZE
MZC;Metz CHAMBIERE
MZD;Metz NORD
MZF;Mezeriat
MZH;Marcellaz HAUTEVILLE
MZI;Mezin
MZL;Metzeral
MZ;Metz
MZM;Metz MARCHANDISES
MZN;Muizen
MZR;Les MAZES LE CRES
MZS;Metz SABLON
MZT;Mazamet
MZV;Metzervisse
MZW;Mertzwiller
MZY;Mezy
MZZ;Muttenz
NAA;Nogent L'ARTAUD CHARLY
NAB;Notre DAME DE BRIANCON
NAE;Nancois TRONVILLE
NAF;Nanterre-PREFECTURE
NAJ;Najac
NAL;Nonant LE PIN
NA;Narbonne
NAN;Nangis
NAP;Naples
NAQ;Namps QUEVAUVILLERS
NAS;Neuves MAISONS
NAU;Nanteuil SAACY
NBG;Neuenburg(DB)
NBL;Nantes BLOTTEREAU
NCE;Naucelle
NCH;Neufchateau
NC;Nerac
NCO;Nonancourt
NCP;Nice (CFP)
NDA;Notre DAME D'OE
NDP;Neuville DE POITOU
NDS;Nerondes
NEA;Neau
NEC;Niversac
NEG;Negrondes
NEM;Nuisement
NE;Nice VILLE
NEN;Noveant
NER;Neuville SUR SARTHE
NET;Nantes ETAT
NEU;Neussargues
NEV;Neuvy SUR LOIRE
NEX;Nurieux
NFB;Neuf BRISACH GARE
NGI;Nogent SUR VERNISSON
NGR;Nogent LE ROTROU
NHA;Neufchatel - HARDELOT PLAGE
NH;Nanteuil LE HAUDOUIN
NIA;Nice ST AUGUSTIN
NIB;Naintre LES BARRES
NIL;Noailles(CORREZE)
NI;Nimes
NIN;Ninove
NIO;Noisy LE ROI
NIR;Nice RIQUIER
NIS;Nissan
NLB;Niederbronn LES BAINS
NLP;Nogent LE PERREUX
NMB;Neufmoutiers EN BRIE
NMR;Namur
NOE;Noyelles
NOF;Nouan LE FUZELIER
NOG;Nogent SUR SEINE
NOI;Noiretable
NOM;Nomain
NON;Noyen
NOP;Novion PORCIEN
NOU;Nouzonville
NOV;Novillars
NOX;Noeux
NOY;Noyon
NOZ;Nozieres BRIGNON
NPE;Nieppe
NP;Neuvy PAILLOUX
NPP;Neuille PONT PIERRE
NPT;Neuilly PORTE MAILLOT
NRD;Neronde
NSB;Neuisenburg
NSC;Ep JJ.CARNAUD
NSF;Neuilly ST FRONT
NSM;Nouvion SUR MEUSE
NS;Nantes
NSP;Nemours ST PIERRE
NSR;Nice ST ROCH
NSS;Neuville SUR SAONE
NST;Neustadt WEINSTR HBF
NSY;Noisy LE SEC
NT;Niort
NTY;Nantilly-SAUMUR
NUC;Nuces
NUE;Neuville UNIVERSITE
NUI;Nuits-SAINT-GEORGES
NUN;Nanterre UNIVERSITE
NUR;Nuits-SOUS-RAVIERES
NVA;Novara
NVC;Neuvic (DORDOGNE)
NV;Nevers
NYG;Noisy LE GRAND MONT D EST
NYM;Neuilly SUR MARNE
NY;Nancy
OBE;Obernai
OBF;Oberhoffen CAMP DE HAGUENAU
OBM;Obermodern
OB;Objat
OCH;Oulchy BRENY
OCT;Ouest CEINTURE
OD;Oudon
OFB;Offenbach MAIN HBF
OFN;Offenbourg
OGB;Orgerus BEHOUST
OGE;Orange
OG;Orgeres
OHN;Oberhofen
OIC;Ostricourt
OI;Oissel
OIP;Oignies PRCI 27
OIR;Oiry
OLB;Ogeu LES BAINS
OLE;Olette-CANAVEILLES
OLL;Ollioules SANARY SUR MER
OLN;Oloron STE MARIE
ONT;Cavaillon TGV SEI 63
ONV;Onville
OPR;Poste R D'ORLY
ORA;Orchamps (JURA)
ORB;Orbassano
ORC;Orchies
ORE;Les ORMES SUR VIENNE
ORG;Orgon
ORI;Origny EP CIMENTS
ORL;Orleans
ORM;Ormoy VILLERS
ORP;Orelle PREMONT
ORS;Orsay VILLE
ORT;Orthez
ORW;L'ORAILLE
ORY;Orry LA VILLE COYE
OSA;Osseja
OS;Ossun
OSS;Osses ST MARTIN D'ARROSSA
OST;Ostende
