BEZEICHNUNG_OFFIZIELL;Abkuerzung
Ecublens VD, Epenex;EPEX
Ecublens VD, EPFL;EPFL
Eppenberg;EPG
Les Eplatures;EPL
Epesses;EPS
Erstfeld;ER
Erstfeld SA Lokbereich;ER41
Erstfeld mobile Equipe G-SR;ER46
Erstfeld mobile Equipe;ER56
Erstfeld 95;ER95
Erstfeld 96;ER96
Erstfeld 97;ER97
Erstfeld 98;ER98
Eriswil, Altersheim;ERAH
Erstfeld, Bahnhof;ERBF
Erdmannlistein;ERDM
Eriswil, Gässli;ERGI
Eriswil, Hinterdorf;ERHD
Erlen;ERL
Werk Stadler Erlen;ERL05
Erlach (Schiff);ERLA
Erlenbach ZH;ERLB
Ermatingen;ERM
Erstfeld Nord;ERN
Erstfeld Nord (Abzw);ERNA
Ersigen, Oberdorf;EROD
Erstfeld Bahntechnikgebäude O;EROS
Ersigen, Gemeindehaus;ERPO
Eriswil, Schulhaus;ERSH
Erlen Stadler Rail;ERSR
Eriswil, Station;ERST
Eriswil, Thanweg;ERTG
Erstfeld Tunnel CC Nord;ERTN
Ersigen, Unterdorf;ERUD
Bern ERZ2;ERZ2
Erzingen (Baden);ERZI
Eschenbach;ESB
Escholzmatt;ESCH
Eschberg;ESCR
Ermensee;ESEE
Eschlikon;ESL
Essert-Pittet;ESP
Essert-sous-Champvent;ESSC
Esslingen;ESSL
Eschert, Sous-la-Rive;ESSR
Estavayer-le-Lac;EST
Estavayer-le-Lac équipe mobile;EST56
Einspurtunnel Wöschnau;ESW
Ettingen, Bahnhof;ET
Etagnières;ETA
Ebnat, Au;ETAU
Ermatingen, Bahnhof;ETBF
Etziken, Dorf;ETDO
Ebnat, Gieselbach;ETGB
Ebnat, Gemeindehaus;ETGH
Ettenhausen-Emmetschloo;ETH
Etiez;ETIE
Etziken, Industrie;ETIN
Ebnat, Kappel;ETKA
Ebnat, Kapplerhof;ETKH
Ebnat, Mühlau;ETMA
Etziken, Mehrzweckhalle;ETMH
Emmenmatt, Obermatt;ETOT
Etoy;ETOY
Ebnat, Wier;ETWI
Etziken;ETZ
Altendorf Etzelwerk;ETZL
Eulach Landesgrenze;EULG
Evionnaz;EV
Evian-les-Bains (F) (lac);EVCG
Evionnaz Nord;EVCN
Les Evouettes;EVOU
Les Evouettes, village;EVOV
Etzwilen;EW
Etzwilen mobile Equipe;EW56
Etzwilen 94;EW94
Etzwilen 95;EW95
Etzwilen 96;EW96
Etzwilen 97;EW97
Etzwilen 98;EW98
Löwenberg Eggwald;EWA
Ewil Maxon;EWMA
Etzwilen Unterwerk;EWUW
Etzwilen West (Abzw);EWW
Exergillod;EX
Excenevex (F) (lac);EXC
Eyholz;EYHO
Eysins (embr);EYSI
Eschenz;EZ
Eschenz, Brüelweg;EZBW
Etzgen;EZG
Etzgen West;EZGW
Eschenz Ost;EZOS
Faido;FA
Faido squadra mobile;FA56
Faido cunicolo di acc. est;FACE
Faido cunicolo di acc. ovest;FACO
Faulensee, Dorf;FADO
Fahrwangen, Bahnhof;FAHR
Farnern, Jura;FAJU
Falkenhaus (Spw);FALK
Fallien (B);FALL
Faido Multifunktionsstelle O;FAO
Locarno FART;FART
Faido Sottocentrale;FASS
Faido Multifunktionsstelle W;FAW
Fanelwald;FAWA
Fayaux;FAY
Fayot;FAYO
Feldbach;FB
Fraubrunnen, Bahnhof;FBBF
Felsberg;FBG
Felsberg Calanda;FBGC
Felsberg Joos;FBGJ
Faido (c bin);FBIN
Fangboden;FBO
Filzbach, Sportzentrum;FBPO
Fraubrunnen;FBR
Filzbach, Römerturm;FBRT
Forch;FCH
Frick;FCK
Frick mobile Equipe;FCK56
Frick 95;FCK95
Frick 96;FCK96
Frick 97;FCK97
Frick 98;FCK98
Frick Hübeli;FCKH
Frick Nord;FCKN
Frick Süd (Spw);FCKS
Felsenau AG;FE
Felsenburg;FEB
Feldbrunnen;FEBR
Fedoccio;FEDC
Ferenbalm-Gurbrü;FEG
Fenêtre Galerie 1 (FG1);FEGA
Felben-Wellhausen;FEL
Ferden Ost BZ Alptransit;FEOB
La Ferrière;FER
Ferden (Spw);FERD
Fehraltorf;FET
Fehraltorf Industrie;FETI
Feldis/Veulden;FEVE
Feldmeilen Wendeanlage;FEWA
Fey;FEY
Frauenfeld;FF
Frauenfeld mobile Equipe;FF56
Frauenfeld FW Bahn Gleisende;FFBG
Frauenfeld (Df);FFDF
Frauenfeld FW Bahn;FFFW
Frauenfeld Marktplatz;FFMA
Frauenfeld Post;FFPO
Frauenfeld Paketpost;FFPP
Frauenfeld West;FFWE
Frauenfeld Zuckerfabrik;FFZF
Faoug;FG
Galleria Freggio;FGGT
Fankhaus (Trub), Gärstengraben;FHGG
Friedrichshafen Hafen;FHHA
Fankhaus (Trub), Schnidershus;FHSH
Fankhaus (Trub), Schulhaus;FHSS
Fankhaus (Trub),Zwüschengreben;FHZG
Fischenthal;FI
Fiesch, Abzw. Feriendorf;FIAF
Fiesch, Bahnhof;FIBF
Fideris;FID
Fiesch;FIE
Fiesch Feriendorf;FIED
Filzbach, Garage;FIGA
Fillistorf;FIL
Filderen (Agl);FILD
Filet;FILE
Filisur;FILI
Filisur Nord;FILN
Filzbach (B);FILZ
Filzbach, Milchzentrale;FIMI
Finhaut;FIN
Findelbach;FIND
Finsterhennen;FINS
Genève-La-Praille FIPA;FIPA
Filzbach, Reutegg;FIRE
Fischerhölzli;FISH
Limite coordonnées VD;FIVD
Gösgen Flusskraftwerk;FKWG
Flüelen;FL
Flüelen mobile Equipe;FL56
Flawil;FLA
Flims Dorf, Bergbahnen;FLDB
Flüelen (Df);FLDF
Flims Dorf, Post;FLDP
Fleurier;FLE
Flendruz;FLED
Tunnel de Fleurier;FLER
Flüelen, Eggberge Talstation;FLET
Flüelen, Hauptplatz;FLHP
Les Fontanelles;FLLE
Flamatt;FLM
Flamatttunnel;FLMA
Flamatt Dorf;FLMD
Flörsheim mobile Equipe;FLOE56
Flüelen (See);FLS
Flüh, Bahnhof;FLUE
Flumenthal;FLUM
Flüelen Unterwerk;FLUW
Flums;FMS
Flums mobile Equipe;FMS56
Fluhmühle (Abzw);FMUE
Fluhmühle Zimmereggtunnel (LU);FMZT
Fronalp-Tunnel Brunnen (SZ);FNAT
Folsogno-Dissimo;FODI
Fontanivent;FON
Fontannaz-Seulaz;FONT
Foral (B);FORA
Fossano squadra mobile;FOS56
Fontenette;FOTN
Tunnel de Fontelats;FOTT
Founex;FOU
Frutigen;FR
Le Frambourg [F];FRA
Frutigen, Achere;FRAC
Fräschels;FRAE
Frutigen Betriebszentrale;FRAT
Freienbach SBB;FRB
Frutigen, Bahnhof;FRBF
Freiburg (Brsg) SA Lokbereich;FRBG41
Freiburg (Brsg) mobile Equipe;FRBG56
Freienbach SOB;FRBS
Ballens-Froideville;FRD
Frenkendorf-Füllinsdorf;FRE
Frenkendorf-F. mobile Equipe;FRE56
Freibergen;FREB
Frenkendorf-F. Containerdepot;FREC
Les Frêtes;FRET
Freudenberg;FREU
Fribourg/Freiburg;FRI
Fribourg équipe mobile;FRI56
Fribourg 94;FRI94
Fribourg 95;FRI95
Fribourg 96;FRI96
Fribourg 97;FRI97
Fribourg 98;FRI98
Zürich Friesenberg;FRIB
Frutigen, Ischlag;FRIG
Frinvillier-Taubenloch;FRIN
Friedentaltunnel;FRIT
Fribourg sous-station;FRIU
Frankfurt, Ent-/Versorgung;FRKF80
Fräkmüntegg;FRM
Fribourg Nord;FRNO
Frutigen Nordportal (Abzw);FRNP
Franziskustunnel;FRNT
Franziskus (Spw);FRNZ
Frutigen Ost BZ Alptransit;FROB
Friedental Ostportal;FROS
Fribourg/Freiburg Poya;FRPO
Frutigen, Rybrügg;FRRY
Frutigen Süd (Abzw);FRS
Frutigen, Tellenfeld;FRTF
Fruttli;FRUT
Frutigen Unterwerk;FRUW
Frutigen, Kreuzgasse;FRVB
Frutigen West BZ Alptransit;FRWB
Frutigen, Widi;FRWI
Frutigen, Winklen;FRWK
Frutigen, Zrydsbrügg;FRZR
Faulensee;FS
Faido SMF;FSMF
Faido SMF Nord;FSMN
Faido SMF Süd;FSMS
Foretaille Convert/s-station;FSSS
Faulensee (See);FSTS
Feuerthalen;FT
Ftan Baraigla;FTAN
Ftan, cumün;FTBA
Frasnacht, Post;FTPO
Fontanney;FTY
Full;FU
Full mobile Equipe;FU56
Fürgangen, Abzw. Bahnhof;FUAB
Furet (bif);FUBI
Funtauna cotschna, Blockstelle;FUCO
Fürgangen-Bellwald Talstation;FUER
Les Fumeaux;FUM
Furna;FURN
Fürten (Spw);FUSP
Löwenberg Furtal;FUTA
Effretikon fUW;FUWEF
Fuchsenwinkel;FUWI
Flims Waldhaus, Caumasee;FWBA
Foyer Dents-du-Midi;FYDM
Gampel-Steg;GA
Gampel-Steg mobile Equipe;GA56
Galgenbühl (Agl);GAB
Gampel-Steg, Bahnhof;GABF
Gampel, Burketen;GABU
Gams, Chrezibach;GACB
Gänsbrunnen;GAE
Gänsbrunnen SBB;GAES01
Gaggiolo Confine;GAGC
Cantello-Gaggiolo;GAGO
Gais;GAIS
Gampinen, Kreuzung Agarn;GAKA
Gallarate squadra mobile;GAL46
Grütschalp;GALP
Gamsensand;GAM
Gampinen;GAMP
Gamsen SBB;GAMS
Gamsen Unterwerk;GAMU
Ganterschwil, alte Post;GANA
Ganterschwil, Grund;GANG
Ganterschwil, Hirschen;GANH
Ganterschwil, Oetschwilerstr.;GANO
Gagnone-Orcesco;GAOR
Gampel, Zentrum;GAPA
Gams, Zentrum;GAPO
Gasel;GAS
Gams, Schutzgunten;GASG
Gampel, Schulhaus;GASH
Gams, Simmirank;GASR
Gatschieferspitz (B);GATB
Gampel, Talstation LGJ;GATS
Gampel-Steg Unterwerk;GAUW
Gams, Widen;GAWI
Griesbach;GBA
Gland Ballastière;GBAL
Glattbrugg (Df);GBDF
Gotthardbasistunnel Ost;GBGE
Gotthardbasistunnel West;GBGW
Les Grands Bois;GBOI
St. Gallen Güterbahnhof;GBSG
Gotthard Basistunnel;GBT
Gotthardbasistunnel Mitte;GBTM
Gotthardbasistunnel Nord;GBTN
Gotthardbasistunnel Süd;GBTS
Arth-Goldau;GD
Arth-Goldau mobile Equipe;GD56
Arth-Goldau 94;GD94
Arth-Goldau 95;GD95
Arth-Goldau 96;GD96
Arth-Goldau 97;GD97
Arth-Goldau 98;GD98
Gordola;GDA
Goldau A4;GDA4
Genthod-Bellevue;GDBE
Goldau Mühlefluh (Verzw);GDMF
Arth-Goldau Nordwest;GDNW
Arth-Goldau Ost (Abzw);GDO
Grossdietwil, Post;GDPO
Arth-Goldau Stellwerk;GDSW
Arth-Goldau West;GDW
Genève;GE
Genève dépôt loc;GE10
Genève dépôt D 5/11/12;GE20
Genève système diagnostique;GE22
Genève Centre d'entr. de voit.;GE25
Genève équipe mobile G-SR;GE46
Genève équipe mobile;GE56
Genève vidage des WC;GE80
Genève lavage defile B 24;GE86
Genève GR;GE90
Genève 94;GE94
Genève 95;GE95
Genève 96;GE96
Genève 97;GE97
Genève 98;GE98
Genève-Aéroport (cul-de-sac);GEAF
Genève-Aéroport;GEAP
Genève-Aéroport 95;GEAP95
Genève-Aéroport 96;GEAP96
Genève-Aéroport 97;GEAP97
Genève-Aéroport 98;GEAP98
Genève Balexert;GEBA
Geschinen, Baschi;GEBS
Les Geneveys-sur-Coffrane;GEC
Genève CEG vidange WC;GEC80
Genève change;GECH
Genève dépôt Ceres;GEDC
Genève-Eaux-Vives (lac);GEEV
Genève faisceau B;GEFB
Genève faisceau C;GEFC
Genève-Jardin-Anglais (lac);GEJA
Geschinen, Kirche;GEKI
Gelfingen;GELF
Gellert;GELL
Gellert Nord (Abzw);GELN
Gellert West (Abzw);GELW
Genève-Mt-Blanc (lac);GEMB
Kreuzungsstation Geren;GEMG
Genève Montbrillant;GEMO
Genolier;GEN
Geren Ost (Verzw);GEOS
Genève-Pâquis (lac);GEPA
Genève-La-Praille (bif);GEPB
Genève-La-Praille EZ10;GEPE
Genève-La-Praille (cul-de-sac);GEPF
Genève Poste 1;GEPO
Genève-La-Praille;GEPR
Genève-La-Praille équipe mobil;GEPR46
Gerra (Gambarogno);GER
Genève Rue des Gares 12;GERG
Gerolfingen;GERO
Gerra (Gambarogno), Paese;GERP
Geschinen;GES
Gersau (See);GESA
Genève-Sécheron;GESE
Genève sous-station;GESS
Genève-Stade;GEST
Gelterkinden Süd;GESU
Gettnau;GET
Gettnau Güteranlage;GETG
Geuensee;GEUE
Genève-Eaux-Vives;GEV
Generoso Vetta;GEVE
Genève Voie-Creuse;GEVO
Geren West (Verzw);GEWE
Gexi;GEXI
Gexi Ost (Abzw);GEXO
Glattfelden;GF
Gfeld;GFEL
Grosshöchstetten;GH
Gäuerhof (Abzw);GHF
Grauholztunnel;GHZ
Giswil;GI
Giswil 94;GI94
Giswil 95;GI95
Giswil 96;GI96
Giswil 97;GI97
Giswil 98;GI98
Gibswil;GIB
Gilly-Bursinel;GIBU
Galleria Giustizia;GIDG
Giustizia (dira);GIDI
Galleria ATG alle Giustizia;GIDT
Giessen mobile Equipe;GIE56
Giessbach See;GIES
Giswil Grossmatt;GIGR
Gilamont;GIL
Gimmelwald (Schilthornbahn);GIM
Giornico;GIO
Giornico (c bin);GIOC
Giornico Sottocentrale;GIOS
Monthey Giovanola (embr);GIOV
Gisenhard;GISH
Gieshübeltunnel NBS;GIST
Giubiasco;GIU
Giubiasco Ferriere Cattaneo SA;GIU05
Giubiasco squadra mobile;GIU56
Giubiasco 94;GIU94
Giubiasco 95;GIU95
Giubiasco 96;GIU96
Giubiasco 97;GIU97
Giubiasco 98;GIU98
Giubiasco Est (c bin);GIUE
Giubiasco Nord;GIUN
Giubiasco Ovest;GIUO
Giubiasco Sud (bif);GIUS
Giubiasco centr commutaz frequ;GIUW
Givisiez;GIV
Givisiez dépôt;GIVD
Givrins;GIVI
Givisiez Ouest;GIVO
La Givrine;GIVR
Giswil ZB;GIZB01
Gelterkinden;GKD
Gelterkinden mobile Equipe;GKD56
Glarus;GL
Glarus mobile Equipe;GL56
Glarus 95;GL95
Glarus 96;GL96
Glarus 97;GL97
Glarus 98;GL98
Gland;GLA
Gluringen, Abzw. Bahnhof;GLAB
Gland Ouest;GLAO
Gland sous-station;GLAS
Glattzentrum;GLAZ
Glattbrugg;GLB
Glattbrugg mobile Equipe;GLB56
Glarus, Bahnhof;GLBF
Glattbrugg Süd (Abzw);GLBS
Gladbeck West mobile Equipe;GLBW56
Glion-Collège;GLCO
Gerlafingen;GLF
Glion (funi);GLFU
Glion-Alpes;GLHA
Glion;GLI
Glisergrund;GLIS
Glashütten, Kirche;GLKI
Glarus, Landstrasse;GLLA
Glarus, Lurigenstrasse;GLLU
Rue-Gillarens;GLNC
Glovelier;GLO
Glovelier équipe mobile;GLO56
Glovelier Ouest;GLOO
Tunnel de Glovelier Sud;GLOT
Glarus, Reust;GLRE
Gluringen;GLUR
Glanzenberg;GLZB
Granges-Marnand;GM
Grünenmatt, Dorfmitte;GMDM
Gümmenen;GMM
Gümmenen Viadukt;GMMV
Grand-Moulin;GMOU
Grünenmatt, Ramisberg;GMRB
Gruemet (Abzw);GMT
Grenchen Nord;GN
Grenchen Nord SBB;GNSB01
Goppenstein;GO
Gohl, Aeugsteren;GOAE
Goppenstein Autorampe;GOAR
Gossau SG, Bahnhof;GOBF
Gossau SG, Bischofszellerstr.;GOBI
Göschenen;GOE
Göschenen mobile Equipe;GOE56
Göschenen 95;GOE95
Göschenen 96;GOE96
Göschenen 97;GOE97
Göschenen 98;GOE98
Göschenen, Bahnhof;GOEB
Göschenen MGB Gleisende;GOEE
Göschenen MG Bahn;GOEM
Gohl, Grindlenbach;GOGB
Gohl, Gmünden;GOGM
Gornergrat;GOGR
Gohl, Houetershus;GOHH
Gohl, Dorf;GOKP
Göschenen Kraftwerk;GOKW
Goldach;GOL
Goldswil (See);GOLD
Gottlieben (Schifflände);GOLI
Gollion (B);GOLL
Goldach MOAG (Agl);GOLM
Goldach Ost;GOLO
Goldau, Löwenplatz;GOLP
Goldach West;GOLW
Gohl, Matten;GOMA
Gohl, Mettlen;GOME
Göschenen Bahnhofplatz;GOMG
Gontenschwil;GON
Gontenbad;GONB
Gondiswil;GOND
Gontenschwil Ost;GONO
Goldau, Neu-Röthen;GONR
Gonten;GONT
Gohl, Obeningohl;GOOG
Gorgier-St-Aubin;GOR
Gohl, Schulhaus Chammershus;GOSC
Gohl, Schulhaus;GOSH
Goldau, Schützenhaus;GOSS
Goppenstein Lötschberg (Spw);GOSW
La Gottaz;GOT
Gotthard Mitte;GOTM
Gotthard Nord (Spw);GOTN
Goldau, Tierpark;GOTP
Gottardo Sud (c bin);GOTS
Göschenen Unterwerk;GOUW
Gossau SG, Watt;GOWA
Gohl, Widhus;GOWH
Gampelen;GP
Grimisuat, Poste;GPOS
Galleria Gottardo porta s(bif);GPSB
Grandgourt;GRA
Grafenort Ausweiche;GRAA
Graben-Neudorf mobile Equipe;GRAB56
Les Granges-Gérignoz;GRAC
Gränichen;GRAE
Grafenort;GRAF
Granges-Lens;GRAL
Les Granges (Orbe);GRAN
Gränichen Oberdorf;GRAO
Grabs, Post;GRAP
Gränichen Töndler;GRAT
Grüenau (B);GRAU
Les Granges (Orbe) TRAVYS;GRAX
Graz Werkstatt SIEMENS;GRAZ05
Grubisbalm;GRBA
Flüelen, Gruonbach;GRBC
Grünenmatt, Bahnhof;GRBF
Gryon Bois-Gentil;GRBG
Gryon-Chalméry;GRCH
Grengiols, Dorfzufahrt Nord;GRDN
Greifenstein;GREI
Grellingen;GREL
Gremberg SA Lokbereich;GREM41
Gremberg mobile Equipe;GREM56
Grengiols;GREN
Grellingen Ost;GREO
Greppen;GREP
Grésaley;GRES
Gretzenbach Technikgebäude;GRET
Grüenfeld;GRF
Grabs, Feld;GRFE
Grabs, Feldgatter;GRFG
Grünfels;GRFL
Grandfey (B);GRFY
Grabs, Hochhaus;GRHH
Grindelwald Grund;GRIG
En Grillon;GRIL
Grindelwald;GRIN
Grindelwald Terminal;GRIT
Grenzach Landesgrenze;GRLX
Grünenmatt;GRMA
Grolley;GRO
Grengiols, Oberdeisch;GROB
Grabs, Pflegeheim;GRPH
Grafenried;GRRI
Grubenwald, Rest. Schlössli;GRRS
Grandson;GRS
Grossdietwil, Sandgruebe;GRSA
Grabs, Spital;GRSL
Grubi (Spw);GRSP
Gränichen Töndler Ost;GRTO
Grubenwald;GRU
Gruben;GRUB
Gruonbach (Spw);GRUO
Grüsch;GRUS
Grandvaux;GRV
Villars-sous-Mont;GRVI
Tunnel de Grandvaux;GRVT
Gruyères;GRY
Gryon;GRYO
Grenchen Süd;GS
Grenchen Süd mobile Equipe;GS56
Gossau SG AB;GSAB
Gossau SG AB Gleisende;GSAE
Emmenbrücke Gersag;GSAG
Givisiez SBB;GSBB
Galleria base Gottardo porta s;GSGS
Gisikon-Root;GSK
Grabs, Lims;GSLI
Gossau SG;GSS
Gossau SG mobile Equipe;GSS56
Gossau SG Ost;GSSE
Gossau-Sommerau (Agl);GSSO
Gossau SG neues Unterwerk;GSSS
Gstaad;GST
Gstalden;GSTN
Gossau SG Unterwerk (SAK);GSUS
Gossau SG altes Unterwerk;GSUW
Gammenthal;GT
Gütsch (Abzw);GTS
Gütsch;GTSX
Gurtnellen;GU
Guarda;GUA
Gutenburg;GUBU
Gümligen;GUE
Gümligen mobile Equipe;GUE56
Gümligen Süd (Abzw);GUES
Güttingen;GUET
Gurtnellen Felli;GUFI
Gurtnellen Schutzstrecke;GUFSS
Gurtnellen Wiler, Gotthardstr.;GUGO
Guntershausen;GUN
Gurgs;GURG
Gurtelen (B);GURT
Gunten (See);GUSS
Grandval;GVAL
Grandval SBB;GVAL01
Grandvillars (FQ);GVFQ
Gwatt;GW
Grasswil, Oberdorf;GWOD
Grasswil, Post;GWPO
Grasswil, Regenhalden;GWRE
Grasswil, Sonne;GWSO
Gwatt Deltapark (See);GWTS
Galmiz;GZ
Galmiz Unterwerk;GZUW
Hasle-Rüegsau;HA
Hamburg-Altona SA Lokbereich;HAAL41
Hamburg-Altona mobile Equipe;HAAL56
Hasle-Rüegsau, Bahnhof;HABF
Hamburg-Billwerder mob Equipe;HABI56
Haslen GL, Chappeli;HACH
Hardfeld (Df);HADF
Häusernmoos, Dorf;HADO
Hauptwil, Dorfplatz;HADP
Hägendorf;HAE
Hägendorf mobile Equipe;HAE56
Hägriger Galerie Nord;HAEG
Hamburg-Eidelstedt SA Lokber.;HAEI41
Hämiken (B);HAEM
Hägendorf Oberbau;HAEO
Häggenschwil-Winden;HAEW
Hafen Bäch (Spw);HAF
Hätzingen, Feuerwehrgebäude;HAFG
Haag-Gams;HAG
Haag (Rheintal), Haag-Center;HAHC
Hagenholz (Abzw);HAHO
Halle (Saale) SA Lokbereich;HAL41
Hamburg-Langenfelde SA Lokber.;HALA41
Hamburg-Langenfelde mob Equipe;HALA56
Haldenstein;HALD
Hannover-Linden Hafen mob Equi;HALH56
Halten;HALN
Haldenstein Rollschemel;HALR
Haltingen SA Lokbereich;HALT41
Häusernmoos;HAMO
Hard-Mumenthal;HAMU
Haag (Rheintal), Dorf;HAPO
Hamburg-Rothenburgs mob Equipe;HARO56
Hätzingen, Rössliplatz;HARP
Hasle LU;HAS
Hasenburg;HASB
Hasenacker (B);HASE
Hamburg Süd mobile Equipe;HASU56
Hauenstein Basistunnel HBT;HATU
Haltingen Unterwerk (DB);HAUW
Hamburg-Waltershof mob Equipe;HAWA56
Löwenberg Hayoz;HAY
Herzogenbuchsee;HB
Herzogenbuchsee mobile Equipe;HB56
Herzogenbuchsee, Bahnhof;HBBF
Herzogenbuchsee, Bernstrasse;HBBS
Herzogenbuchsee, Friedhof;HBFR
Herzogenbuchsee Gishübeltu Ost;HBGO
Herzogenbuchsee, Jurablick;HBJB
Hindelbank;HBK
Hindelbank Kernenried;HBKK
Heitersberglinie Ost (Abzw);HBLO
Herzogenbuchsee Ost (Abzw);HBO
Hebrig;HBRG
Herzogenbuchsee, Sonnenplatz;HBSO
Hauenstein Nord (Spw);HBTN
Hauenstein Süd (Spw);HBTS
Hallwil;HD
Hägendorf Baudienstwerkstätte;HDBW
Haut-de-Caux;HDC
Hendschiken;HDK
Hendschiken Nord (Abzw);HDKN
Hendschiken Unterwerk;HDUW
Herisau;HE
Herisau 94;HE94
Herisau 95;HE95
Herisau 96;HE96
Herisau 97;HE97
Herisau 98;HE98
Herisau AB;HEAB
Heerbrugg;HEBG
Heerbrugg mobile Equipe;HEBG56
Heerbrugg 94;HEBG94
Heerbrugg 95;HEBG95
Heerbrugg 96;HEBG96
Heerbrugg 97;HEBG97
Heerbrugg 98;HEBG98
Herbriggen;HEBR
Hagneck;HECK
Hedingen;HED
Hellsau, Dorfmitte;HEDM
Hedingen Nord (Spw);HEDN
Heerbrugg, Schloss;HEES
Heimisbach, Furlimatt;HEFM
Herisau HW;HEHW
Heiden;HEI
Heiden Gleisende;HEII
Heimbach (Spw);HEIM
Widen Heinrüti;HEIN
Heitersbergtunnel;HEIT
Heimisbach, Krummholzbad;HEKB
Heimiswil, Kipf;HEKI
Heimiswil, Löwen;HELO
Hemishofen;HEM
Henniez;HEN
Heimiswil, Niederdorf;HENI
Heimisbach, Post;HEPO
Heimenhausen, Post;HEPS
Heimiswil, Oberdorf;HEPT
Herblingen;HERB
Herdtunnel;HERD
Heimenhausen, Riedgasse;HERG
Herrliberg-Feldmeilen;HERL
Hermance (lac);HERM
Hersiwil Ost RL 06;HERO
Hersiwil West;HERS
Herznach (B);HERZ
Heimisbach, Steckshaus;HESH
Heimisbach, Sternen;HEST
Hettlingen;HET
Heimisbach, Thal;HETH
Hersiwiltunnel NBS;HETU
Heustrich-Emdthal;HEU
Heimisbach, Wagnershaus;HEWH
Horgen;HG
Horgen Güterschuppen;HGGS
Horgen Hirsacher;HGHI
Zürich Hagenholztunnel;HGHT
Horgen Oberdorf;HGO
Haspelgrube;HGR
Henggart;HGT
Hirschengrabentunnel II;HGTN
Les Hauts-Geneveys;HGV
Hergiswil;HGW
Hergiswil ZB;HGWZ01
Hardhof (B);HH
Hamburg Hohe Schaar mob Equipe;HHHS56
Hinwil;HI
Hinwil 94;HI94
Hinwil 95;HI95
Hinwil 96;HI96
Hinwil 97;HI97
Hinwil 98;HI98
Hinwil Affeltrangen;HIAF
Zürich Hirschengrabentunnel Mi;HIGT
Hitzkirch;HIK
Hiltiberg (B);HILB
Hilterfingen (See);HILS
Hirschlang;HING
Hinteregg;HINT
Hinwil Nordwest;HINW
Hirzwangen (B);HIR
Hirschberg;HIRS
Hirschthal;HIT
Hirschthal Nord;HITN
Oberwil BL, Hüslimatt;HLIM
Hüttlingen-Mettendorf;HM
Heimberg;HMB
Hubelmatt Tunnel;HMT
Herzogenmühle (B);HMUE
Horn;HN
Horn Allmend;HNAL
Haslen GL, Hinterhaslen;HNHH
Hornussen;HNS
Hornussen Nord;HNSN
Haslen GL, Zünli;HNZI
Hochdorf;HO
Hochdorf mobile Equipe;HO56
Hochdorf 94;HO94
Hochdorf 95;HO95
Hochdorf 96;HO96
Hochdorf 97;HO97
Hochdorf 98;HO98
Holziken, Abzw. Bändli;HOAB
Horn, Bahnhof;HOBF
Holderbank AG;HOBK
Hochfluhtunnel;HOCT
Hospental, Dorf;HODO
Hölstein;HOE
Höcklerbrücke;HOEB
Höri (B);HOER
Hölstein Süd;HOES
Hölstein Weidbächli;HOEW
Münchenstein, Hofmatt;HOFM
Gümligen, Hofgut;HOGU
Hohfluh VS;HOHF
Hohlstrasse (B);HOHL
Bern Holligen;HOL
Bern Holligen 94;HOL94
Bern Holligen 95;HOL95
Bern Holligen 96;HOL96
Bern Holligen 97;HOL97
Bern Holligen 98;HOL98
Holligen Schaltposten;HOLS
Honau (B);HON
Hondrich Süd;HOND
Holziken, Post;HOPO
Höchstetten, Post;HOPT
Hornhalde (Spw);HOR
Hospental;HOS
Hochdorf Schönau;HOSA
Hospental West;HOSW
Horchental;HOT
Hochdorf Wirtlen;HOW
Zollikofen HOZ;HOZ
Hauptwil;HPT
Hauptwil mobile Equipe;HPT56
Heiden, Post;HPXY
Hard Käferberg (Abzw);HRD
Hardfeld (Spw);HRDF
Hinteres Riedholz;HRIH
Härkingen Post;HRK
Hermitage;HRMG
Hertenstein (See);HRST
Hasle b.B., Dorf;HSDO
Hasle b.B., Eisbahnweg;HSEW
Hasle b.B., Mühle;HSMU
Hohtenn;HT
Hauteville;HTV
Hunzenschwil;HU
Hünenberg Alznach;HUBG
Hünenberg Chämleten;HUCH
Hüswil;HUE
Hübeli LU;HUEB
Hüniken;HUEN
Hürlistein (Abzw);HUER
Hüslentunnel;HUET
Hüntwangen-Wil;HUEW
Hüntwangen-Wil mobile Equipe;HUEW56
Hurden;HUR
Hürlistein Ost;HURO
Hürlistein Unterwerk;HURU
Hürlistein West;HURW
Hüswil West;HUSW
Hünibach (See);HUTS
Hünenberg Zythus;HUZY
Horw;HW
Huttwil, Alterssiedlung;HWAS
Huttwil, Bahnhof;HWBF
Hermiswil, Brücke;HWBR
Huttwil Fiechten (Agl);HWFA
Huttwil, Fiechten;HWFI
Huttwil, Friedhof;HWFR
Huttwil, Fiechtenstrasse;HWFS
Horw Haltiwaldtunnel Nord;HWHN
Horw Haltiwaldtunnel Süd;HWHS
Huttwil;HWIL
Huttwil 94;HWIL94
Huttwil 95;HWIL95
Huttwil 96;HWIL96
Huttwil 97;HWIL97
Huttwil 98;HWIL98
Huttwil, Schwarzenbach;HWNS
Horriwil, Oberdorf;HWPO
Horriwil, Post;HWPT
Horw Süd (Spw);HWS
Huttwil, Stadt;HWST
Huttwil Sportzentrum;HWSZ
Huttwil, Uech;HWUE
Horw ZB;HWZB01
Holzhäusern;HZH
