BEZEICHNUNG_OFFIZIELL;Abkuerzung
Basel-Moutier (Verzw);BAMV
Bannwil;BAN
Bannwil Kleben;BANK
Bann (B);BANN
Bannwald;BANW
Basel Bad Rbf;BAR
Basel Bad Rbf (Abzw);BARA
La Barboleuse;BARB
Barges;BARG
Basel Bad Bf Rheinbrücke Nord;BARN
Baschär (B);BAS
Bärau, Schwimmbad;BASD
Balerna per Smistamento (bif);BASM
Bärau, Schärischachen;BASN
Bärau, Sonne;BASO
Bassins;BASS
La Bâtiaz;BATI
Bärschwiltunnel;BATU
Baulmes;BAU
Bauen (See);BAUE
La Baume;BAUM
Bavois;BAV
Bärau, Vorder Chammershus;BAVC
Bazenheid;BAZ
Bazenheid mobile Equipe;BAZ56
Bazenheid, Hochhaus;BAZH
Bazenheid, Ifang;BAZI
Bazenheid MICARNA (Abzw);BAZM
Bazenheid, Ochsen;BAZO
Bazenheid ZAB (Agl);BAZZ
Bois-Bougy;BB
Biberbrugg, Bahnhof;BBBH
Brunnen, Bahnhof;BBHF
Büron-Bad Knutwil;BBK
Basel Brückenkopf Grenzacherst;BBKG
Brig BLS Depot;BBLS
Bois-de-Chexbres;BCHX
Bassecourt sous-station (CFF);BCSS
Boncourt;BCT
Boncourt équipe mobile;BCT56
Boncourt 94;BCT94
Boncourt 95;BCT95
Boncourt 96;BCT96
Boncourt 97;BCT97
Boncourt 98;BCT98
Baden;BD
Baden mobile Equipe;BD56
Baden 95;BD95
Baden 96;BD96
Baden 97;BD97
Baden 98;BD98
Burgdorf, Aebistrasse;BDAE
Burgdorf, Alterspflegeheim;BDAP
Burgdorf, Bahnhof;BDBF
Burgdorf, Blattnerweg;BDBL
Burgdorf, Bleichimatt;BDBT
Burgdorf, Choserfeld;BDCH
Burgdorf, City;BDCI
Burgdorf, Eyfeldweg;BDEW
Burgdorf, Eybrücke;BDEY
Burgdorf;BDF
Burgdorf mobile Equipe;BDF56
Burgdorf, Fabrikweg;BDFA
Burgdorf Buchmatt;BDFB
Burgdorf, Friedhof;BDFH
Burgdorf, Fischermätteli;BDFM
Burgdorf Steinhof;BDFS
Burgdorfer Tunnel BDF-WY;BDFT
Burgdorf West (Abzw);BDFW
Burgdorf, Gsteighof;BDGH
Burgdorf, Gyrischachen;BDGN
Burgdorf, Gyri Ost;BDGO
Burgdorf, Gymnasium;BDGY
Burgdorf, Hallenbad;BDHB
Burgdorf, Heimiswilstrasse;BDHE
Burgdorf, Hasleweg;BDHG
Burgdorf, Im Choser;BDIC
Burgdorf, Jungfraustrasse;BDJS
Burgdorf, Katholische Kirche;BDKK
Burgdorf, Kornhaus;BDKO
Burgdorf, Kronenplatz;BDKR
Burgdorf, Lerchenbühlweg;BDLB
Burgdorf, Lorraine;BDLO
Burgdorf, Meiefeld;BDMF
Burgdorf, Mühlegasse;BDMG
Burgdorf, Musikschule;BDMU
Baden Nord;BDN
Burgdorf, Nassi;BDNA
Baden Oberstadt;BDO
Burgdorf, Oberdorf;BDOD
Lausanne, Bourdonnette;BDON
Burgdorf, Parkhaus Oberstadt;BDPO
Burgdorf, Pulverweg;BDPW
Boudry;BDR
Baden Compaq Safe 1;BDSA
Baden Compaq Safe 2;BDSB
Burgdorf, Schützenhaus;BDSH
Burgdorf, Schlossmatt;BDSM
Burgdorf, Spital;BDSP
Burgdorf Steinhof, Bahnhof;BDST
Burgdorf, Tiergarten;BDTG
Burgdorfer Tunnel Ost;BDTO
Burgdorfer Tunnel West;BDTW
Burgdorf Unterwerk;BDUW
Bei den Weihern;BDWE
Burgdorf, Ziegelei;BDZI
Beauregard;BEAC
Beatushöhlen-Sundlauenen;BEAH
Bel-Air LEB;BEAI
Beatenbucht (Beatenbergbahn);BEAT
Beatenberg;BEBG
Biberegg, Bahnhof;BEBH
Bergün/Bravuogn;BEBR
Beatenbucht (See);BEBS
Bernina Cambrena Blinklicht;BECA
Bellevue (lac);BECG
Beckenried (See);BECK
Bellinzona deposito Ceres;BEDC
Bernina Diavolezza;BEDI
Bedretto Portal Nordwest;BEDN
Bettenhausen, Dorf;BEDO
Bedrettostollen;BEDR
Bedretto Portal Südost;BEDS
Bergfrieden;BEFR
Bergüner Stein;BEIN
Bellinzona;BEL
Bellinzona manut. P;BEL25
Bellinzona SA settore loc;BEL41
Bellinzona squadra mobile G-SR;BEL46
Bellinzona SA imp lavaggio G;BEL48
Bellinzona squadra mobile;BEL56
Bellinzona pulizia passaggio;BEL86
Bellinzona 95;BEL95
Bellinzona 96;BEL96
Bellinzona 97;BEL97
Bernina Lagalb;BELA
Bellinzona Collegamento;BELC
Bellinzona Sud;BELD
Bellach Industrie;BELE
Bellegarde 94;BELG94
Bellegarde 95;BELG95
Bellegarde 96;BELG96
Bellegarde 97;BELG97
Bellegarde 98;BELG98
Bellach;BELL
Bellinzona Nord (bif);BELN
Bellinzona SI;BELO
Bellinzona Svitto (Galleria);BELT
Bellevue NE;BELV
Le Bémont;BEM
Belfort Montbéliard TGV-87;BEMD
Betten Talstation;BEMG
Belmont-sur-Montreux;BEMM
Bendlehn;BEND
Bossonnens;BENS
Besançon TGV-87;BEON
Bellinzona Piazza Indipendenza;BEPI
Bettenhausen, Post;BEPO
Berlingen;BER
Berneck, Rathaus;BERA
Beringen Bad Bf;BERB
Bercher;BERC
Beringerfeld;BERD
Berg;BERG
Berg SBB;BERG01
Bergstation AB-rhb;BERS
Bennau, Schwyzerbrugg;BESB
Betschwanden, Schulhaus;BESH
Beau-Site;BESI
Besnate;BESN
Besozzo;BESO
Bernina Suot;BESU
Bettlach;BET
Bettmeralp;BETA
Bever;BEV
Zufikon Belvédère;BEVE
Bévieux;BEVI
Berikon-Widen;BEWI
Bex;BEX
Bex-Place-du-Marché;BEXM
Bex place de la gare;BEXT
Beznau (Agl);BEZ
Belfaux CFF;BF
Bifang AG (Spw);BFG
Bonne-Fontaine NE;BFO
Bois des Frères;BFRS
Belfaux-Village;BFV
Brugg AG;BG
Brugg AG mobile Equipe;BG56
Brugg AG 95;BG95
Brugg AG 96;BG96
Brugg AG 97;BG97
Brugg AG 98;BG98
Basel SBB GB Stw 3 (Do67);BGB3
Bürglen TG, Bahnhof;BGBF
Bibenlos-Sonnenhof;BGBI
Brugg AG BM-Gebäude;BGBM
Brugg-Bözberg FstZ;BGBO
Brugg AG DG-Bauregion;BGBR
Brugg AG ELT-Gebäude;BGEL
Berghof;BGF
Brugg AG FL-Gebäude;BGFL
Bütschwil, Gemeindehaus;BGFQ
Brügg BE;BGG
Brugg AG Güterverwaltung;BGGV
Burghalden;BGH
Bremgarten Isenlauf;BGIS
Bürglen;BGL
Bürglen mobile Equipe;BGL56
Bürglen UR, Post;BGLP
Bürglen West;BGLW
Brugg AG Nord (Abzw);BGN
Brugg AG Ost;BGOS
Bremgarten Obertor;BGOT
Brugg AG Süd (Abzw);BGS
Brugg AG SA-Gebäude;BGSA
Brügg (Bürglen UR);BGUR
Brugg AG Unterwerk;BGUW
Brugg AG Kaserne;BGV
Brugg AG VL;BGVL
Bremgarten West;BGW
Brugg AG West;BGWE
Brugg AG Zentrallager;BGZL
Burgholz;BH
Bremerhaven-Kaiser. mob Equipe;BHKH56
Bremerhaven-Lehe mobile Equipe;BHLE56
Burghof;BHOF
Biel/Bienne;BI
Biel/Bienne Unterhalt P;BI25
Biel/Bienne SA Lokbereich;BI41
Biel/Bienne mobile Equipe G-SR;BI46
Biel/Bienne SA Lok-Waschanl G;BI48
Biel/Bienne mobile Equipe;BI56
Biel/Bienne Ent-/Versorgung;BI80
Biel/Bienne DR;BI86
Biel/Bienne 95;BI95
Biel/Bienne 96;BI96
Biel/Bienne 97;BI97
Biel/Bienne 98;BI98
Biasca;BIA
Biasca squadra mobile;BIA56
Biasca 95;BIA95
Biasca 96;BIA96
Biasca 97;BIA97
Biasca 98;BIA98
Biasca binario di sorpasso;BIAD
Biel/Bienne Aebistrasse;BIAE
Frequenzumformerwerk Biasca;BIAFU
Biasca Nord (bif);BIAN
Biasca Ovest;BIAV
Biberbrugg;BIB
Biberbrugg 94;BIB94
Biberbrugg 95;BIB95
Biberbrugg 96;BIB96
Biberbrugg 97;BIB97
Biberbrugg 98;BIB98
Biel/Bienne, Battenberg;BIBB
Biel/Bienne, BBZ/CFP;BIBC
Biel/Bienne Bözingenfeld/Champ;BIBD
Biel/Bienne, Bahnhof/Gare;BIBF
Biel/Bienne, Bibliothek;BIBK
Biel/Bienne, Bözingen/Boujean;BIBO
Biel/Bienne, Bahnhofplatz;BIBP
Biberist RBS;BIBS
Biel/Bienne [Gleis 11/voie 11];BIBT
Biel/Bienne, Bubenbergstrasse;BIBU
Biel/Bienne, Brunnenplatz;BIBZ
Bière-Casernes;BICA
Biel/Bienne, Centre Boujean;BICB
Bickigen (B);BICK
Biel/Bienne Depot;BID
Biel/Bienne Depot Ost;BIDO
Biel/Bienne Depot Süd;BIDS
Biel Madretsch;BIEM
Bière;BIER
Biglen;BIG
