Ort;Haltestelle;Abkürzung
Dresden;S-Bf. Dobritz;SDZ
Dresden;S-Bf. Freiberger Straße;SFB
Dresden;S-Bf. Grenzstraße;SGR
Dresden;S-Bf. Industriegelände;SIG
Dresden;S-Bf. Niedersedlitz;SND
Dresden;S-Bf. Pieschen;SPN
Dresden;S-Bf. Plauen;SPL
Dresden;S-Bf. Reick;SRE
Dresden;S-Bf. Strehlen;SSR
Dresden;S-Bf. Trachau;STR
Dresden;S-Bf. Trachau West;STW
Dresden;Schanzenstraße;SAZ
Dresden;Scharfenberger Straße;SBG
Dresden;Scharfensteinstraße;SST
Dresden;Schaufußstraße;SCU
Dresden;Schiffswerft Laubegast;SWL
Dresden;Schillerplatz;SIP
Dresden;Schillerstraße;SHL
Dresden;Schillingstraße;SLI
Dresden;Schlehenstraße;SLE
Dresden;Schlüterstraße;SLT
Dresden;Schneebergstraße;SNS
Dresden;Schönaer Straße;SNA
Dresden;Schule Gompitz;SCG
Dresden;Schulstraße;SUL
Dresden;Schunckstraße;SUK
Dresden;Schurichtstraße;SUR
Dresden;Schweizer Straße;SZS
Dresden;Schweriner Straße;SCH
Dresden;Schwimmh. Freib. Platz;SHF
Dresden;Schwimmhalle Bühlau;SHB
Dresden;Schwimmhalle Klotzsche;SHK
Dresden;Seewiesenweg;SEW
Dresden;Seidnitz Center;SEC
Dresden;Seidnitzer Weg;SEI
Dresden;Semmelweisstraße;SEM
Dresden;Sobrigauer Weg;SOW
Dresden;Söbrigen;SOB
Dresden;Söbrigener Straße;SOG
Dresden;Sörnewitzer Straße;SRN
Dresden;Sosaer Straße;SOS
Dresden;Spenerstraße;SPS
Dresden;Spitzhausstraße;SPH
Dresden;Spitzwegstraße;SPI
Dresden;Sportplätze;SPO
Dresden;St.-Benno-Gymnasium;GYM
Dresden;St.-Marien-Krankenh.;SMK
Dresden;St.-Pauli-Friedhof;SPF
Dresden;Staats- u. Unibibliothek;SUB
Dresden;Stadtgutstraße;SGU
Dresden;Staffelsteinstraße;SSS
Dresden;Stauffenbergallee;STF
Dresden;Steglichstraße;STE
Dresden;Stephanstraße;STS
Dresden;Stralsunder Straße;SSU
Dresden;Straßburger Platz;SBP
Dresden;Straße des 17.Juni;STJ
Dresden;Strehlener Platz;STP
Dresden;Striesener Straße;STN
Dresden;Struppener Straße;SRU
Dresden;Südhöhe;SUE
Dresden;Südvorstadt;SVS
Dresden;Synagoge;SYN
Dresden;Tannenstraße;TAN
Dresden;Tännichtstraße;TNS
Dresden;Taschenbergpalais;ETPA
Dresden;Tatzberg;TBG
Dresden;Taubenberg;TAU
Dresden;Technische Sammlungen;TSA
Dresden;Technische Universität;TUD
Dresden;Tharandter Straße;THA
Dresden;Thäterstraße;THS
Dresden;Theaterplatz;THE
Dresden;Theilestraße;TEI
Dresden;Thomas-Mann-Straße;TMS
Dresden;Tiergartenstraße;TIE
Dresden;Tiroler Straße;TIS
Dresden;Tolkewitz, Schulcampus;TSC
Dresden;Tornaer Straße;TON
Dresden;Trachauer Straße;TAS
Dresden;Trachenberger Platz;TRP
Dresden;Trattendorfer Straße;TRS
Dresden;Trinitatisplatz;TIP
Dresden;Tronitzer Straße;TRO
Dresden;Troppauer Straße;TPS
Dresden;Uhlandstraße;UHL
Dresden;Universitätsklinikum;UKD
Dresden;Urnenstraße;URN
Dresden;Van-Gogh-Straße;VGO
Dresden;Veilchenstraße;VEI
Dresden;Vollmarstraße;VOL
Dresden;Vorwerkstraße;VOW
Dresden;Wachbergstraße;WCH
Dresden;Wächterstraße;WAC
Dresden;Wägnerstraße;WGS
Dresden;Waldschlößchen;WSO
Dresden;Waldschlößchenstraße;WSS
Dresden;Waldteichstraße;WTS
Dresden;Walpurgisstraße;WPS
Dresden;Waltherstraße;WTH
Dresden;Wasaplatz;WAS
Dresden;Washingtonstraße;WSH
Dresden;Wasserwerk Tolkewitz;WWT
Dresden;Webergasse;WEB
Dresden;Weberplatz;WPL
Dresden;Weidentalstraße;WDS
Dresden;Weißdornstraße;WSD
Dresden;Weißer Hirsch;BWHI
Dresden;Weißeritzstraße;WSR
Dresden;Werftstraße;WEF
Dresden;Wernerstraße;WER
Dresden;Westendstraße;WEE
Dresden;Wettiner Platz;EWTP
Dresden;Wieckestraße;WIE
Dresden;Wilder Mann;WIM
Dresden;Wilder-Mann-Straße;WMS
Dresden;Wilhelm-Busch-Straße;WBU
Dresden;Wilhelminenstraße;WIL
Dresden;Wilischstraße;WIS
