VKM;UNIQUE;Keeper Name / Halter Name / Nom du détenteur / Название владельца;Country Страна;Status Статус;www.;
MAGIT;MAGIT;Liberty Magona srl;IT;in use;libertysteelgroup.com;
MAIA;MAIA;MAIA RAIL;FR;in use;maia-rail.groupe-maia.com;
MAKI;MAKI;Makies AG;CH;in use;makies.ch;OTIF
MALOW;MALOW;MaLoWa Bahnwerkstatt GmbH;DE;in use;;
MALP;MALP;MALPENSA S.R.L.;RO;in use;malpensa.ro;
MALUS;MALUS;Malus Aps;DK;in use;malus.dk;
MANA;MANA;Máňa doprava s.r.o.;CZ;in use;;
MANTI;MANTI;MANTI KO OOD;BG;in use;;
MAPN;MAPN;MApN - Unitatea Militara 02574 Bucuresti;RO;in use;;
MAR;MAR;Trafikverket Materialservice Rälsverkstaden;SE;in use;trafikverket.se;
MARK;MARK;W. Markgraf GmbH & Co KG Bauunternehmung;DE;in use;markgraf-bau.de;
MARS;MARS;MARS LOGISTICS Uluslararası Taşımacılık Depolama VE Tic Aş.;TR;in use;marslogistics.com;OTIF
MARTI;MARTI;Marti Infra AG;CH;in use;martiagh.ch;OTIF
MARUB;MARUB;MARUB SA;RO;in use;marub.ro;
MARW;MARW;MARWAY FERTILCHIM SA;RO;in use;;
MAS;MAS;MaS Bahnconsult Martin Stams;DE;in use;mas-bahnconsult.de;
MASK;MASK;Max Aicher Slovakia s.r.o.;SK;in use;;
MAST;MAST;Martin Schienentechnik KEG;AT;in use;martin-schienentechnik.com;
MAT;MAT;Messer Austria GmbH;AT;in use;messer.at;
MATIS;MATIS;MATISA Matériel Industriel SA;CH;in use;matisa.ch;OTIF
MATIT;MATIT;Matisa S.p.A;IT;in use;matisa.ch;
MATT;MATT;Matthäi Trimodalbau GmbH & Co. KG;DE;in use;matthaei.de;
MÁV;MAV;Magyar Államvasutak ZRt.;HU;in use;mav.hu;
MÁVGS;MAVGS;MÁV-GÉPÉsZet Zrt.;HU;in use;mav-gepeszet.hu;
MÁVRT;MAVRT;MÁV Rail Tours Kft.;HU;in use;mavcsoport.hu;
MÁVTR;MAVTR;MÁV-TRAKCIÓ Zrt. (MAV-TRACTION Co);HU;in use;mav-trakcio.hu;
MAX;MAX;MAVEX-REKORD Kft.;HU;in use;;
MAXKK;MAXKK;Maxima Kustusz Kyrcz Spółka Jawna;PL;in use;maxima-service.eu;
MAY;MAY;Maybach Stammhaus GmbH;DE;Revoked;maybach.org;
MAZZI;MAZZI;Angelo Mazzi Costruzioni Generali e Ferroviarie SRL;IT;in use;;
MB;MB;Mansfelder Bergwegsbahn e.V;DE;in use;bergwerksbahn.de;
MBAG;MBAG;Mercedes-Benz AG;DE;in use;group.mercedes-benz.com;
MBB;MBB;Mecklenburgische Bäderbahn Molli;DE;in use;molli-bahn.de;
MBBAU;MBBAU;MB Bau und Sicherungsüberwachung e.K.;DE;in use;;
MBBB;MBBB;Museumsbahn Bremerhaven-Bederkesa e. V.;DE;in use;museumsbahn-bremerhaven-bederkesa.de;
MBBKB;MBBKB;Museumsbahn Buckower Kleinbahn e.V.;DE;in use;buckower-kleinbahn.de;
MBC;MBC;Transports de la région Morges-Bière-Cossonay;CH;in use;mbc.ch;OTIF
MBG;MBG;Muggenthaler Bau GmbH;DE;in use;muggenthaler-bau.de;
MBI;MBI;Münzer Bioindustrie GmbH;AT;in use;;
MBM;MBM;MBM Maas Baumaschinen GmbH & Co. KG;DE;in use;maas-tiefbau.de;
MBMR;MBMR;MBM rail s.r.o.;CZ;in use;mbmr.cz;
MBR;MBR;mb-railtech;DE;in use;mb-railtech.de;
MBS;MBS;Montafonerbahn AG;AT;in use;montafonerbahn.at;
MBSG;MBSG;Günter Theis und Thomas Kaiser GbR;DE;in use;;
MBV;MBV;Malmbanans Vänner;SE;in use;nbjvm.se;
MBVA;MBVA;Flecken Bruchhausen-Vilsen;DE;in use;;
MBŽS;MBZS;MLADOBOLESLAVSKÝ ŽELEZNIČNÍ SPOLEK;CZ;in use;mbzs.net;
MCT;MCT;MECHEL CAMPIA TURZII SA;RO;in use;remat-mg.ro;
MDCIV;MDCIV;Tecklenborg GmbH & Co. KG;DE;in use;tecklenborg.de;
MDE;MDE;MANTENIMIENTO DE ESTACIONES, S.L.;ES;in use;mdeconstrucciones.es;
MDEF;MDEF;Ministerio de Defensa - DISAR;ES;in use;;
