Linie;Laufweg
RE73;(Augsburg - Buchloe -) Türkheim - Bad Wörishofen
RB73;Kempten - Pfronten-Steinach (- Reutte (Tirol))
RB74;Buchloe - Kaufering - Geltendorf - Fürstenfeldbruck - München-Pasing - München Hbf
RE74;München - Geltendorf - Buchloe - Kempten
RE75;Ulm - Memmingen - Kempten (- Immenstadt - Oberstdorf)
RE77;Ulm - Memmingen - Kempten - Immenstadt - Hergatz - Lindau-Insel | Wangen (Allgäu)
RB77;Augsburg - Buchloe - Biessenhofen - Füssen
RB78;Günzburg - Krumbach (- Mindelheim)
RE79;Augsburg - Buchloe  - Kempten
RB80;(Gemünden - Würzburg -) Steinach - Ansbach - Treuchtlingen
RB81;Steinach - Bad Windsheim - Neustadt
RB82;Rothenburg - Steinach
RE84;(Aschaffenburg -) Miltenberg - Amorbach - Seckach
RB85;Würzburg - Lauda - Osterburken
RB86;Fugger-Express: Dinkelscherben - Augsburg - München
RE87;(Aschaffenburg -) Miltenberg - Wertheim (- Lauda - Crailsheim)
RB87;Fugger-Express: Donauwörth - Augsburg - München
RB88; Aschaffenburg - Miltenberg
RE89;Aalen - Nördlingen - Donauwörth - Augsburg - München
RB89;Aalen - Nördlingen - Donauwörth
RB91; Wicklesgreuth - Windsbach
RB92;Lindau-Insel - Wangen (Allgäu) - Kißlegg - Leutkirch - Memmingen
RB93;Lindau - Friedrichshafen
RB95;Marktredwitz - Schirnding - Cheb - Hof
RE96;München - Buchloe - Memmingen - Kißlegg - Hergatz - Lindau-Insel - Lindau-Reutin
RB96;Hof - Selb
RE98;Lindau - Bludenz
RB98;Helmbrechts - Münchberg
RB99;Hof - Münchberg
