Linie;Streckenverlauf;Verkehrsmitteltext;Kompakte Liniennummer
99;Stammheim - Schlotwiese - Zuffenhausen;5 - Bus;30-99-j18
R61E;Schienenersatzverkehr Heimerdingen - Hemmingen;5 - Bus;31-61-e-j18
R81;Oberlenningen - Kirchheim (T);13 - SEV-Bus;31-81-e-j18
94;Leonb. Blosenbergk. - Bf - Ramtel (- Waldfriedhof);5 - Bus;31-94-j18
101;Lerchenäcker - Esslingen (N) ZOB - Obertürkheim;5 - Bus;31-101-j18
102;Zell - Esslingen (N) ZOB - Weil - Mettingen;5 - Bus;31-102-j18
103;Zell - Esslingen (N) ZOB - Weil - Hedelfingen;5 - Bus;31-103-j18
104;Esslingen (N) ZOB - Industriegebiet - Sirnau - Deizisau;5 - Bus;31-104-j18
105;Essl. (N) Am Schönen Rain - Klinikum Esslingen - Essl. (N) ZOB;5 - Bus;31-105-j18
106;Esslingen (N) ZOB - Baltmannsweiler - Hohengehren (- Winterbach - Schorndorf);5 - Bus;31-106-j18
108;Esslingen (N) ZOB - Jägerhaus (- Dulkhäusle);5 - Bus;31-108-j18
109;Esslingen (N) ZOB - Sulzgries - Rüdern;5 - Bus;31-109-j18
110;Esslingen (N) ZOB - Hohenkreuz - Wäldenbronn;5 - Bus;31-110-j18
111;Esslingen (N) ZOB - St. Bernhardt - Serach - Sulzgries - Neckarhalde;5 - Bus;31-111-j18
112;Essl. (N) ZOB (- Hohenkreuz) - Dulkhäusle (- Jägerhaus);5 - Bus;31-112-j18
113;Essl. (N) ZOB - Zollberg / - Adenauerbrücke - Berkheim;5 - Bus;31-113-j18
114;Esslingen (N) ZOB - Lobenrot - Krummhardt - Aichelberg;5 - Bus;31-114-j18
115;Esslingen (N) ZOB - Oberesslingen - Zell;5 - Bus;31-115-j18
116;Essl. (N) ZOB - Wäldenbronn - Stetten (- Endersbach);5 - Bus;31-116-j18
118;Esslingen (N) ZOB - Pliensauvorstadt - Zollberg - Esslingen (N) ZOB;5 - Bus;31-118-j18
119;Esslingen (N) - Nellingen - Denkendorf;5 - Bus;31-119-j18
120;Esslingen (N) - Nellingen - Neuhausen (- Wolfschlugen);5 - Bus;31-120-j18
121;Oberesslingen - Denkendorf - Neuhausen;5 - Bus;31-121-j18
122;Esslingen (N) - Scharnhausen - Flughafen/Messe;5 - Bus;31-122-j18
131;Esslingen (N) - Ruit - Heumaden (- Scharnhausen);5 - Bus;31-131-j18
132;Oberesslingen - St. Bernhard - Serach - Sulzgries - Rüdern;5 - Bus;31-132-j18
138;Jägerhaus - Oberesslingen - Zell - Sirnau - Berkheim;5 - Bus;31-138-j18
140;Esslingen (N) - Altbach - Plochingen;5 - Bus;31-140-j18
141;Plochingen ZOB - Lettenäcker - Stumpenhof;5 - Bus;31-141-j18
142;Plochingen  - Reichenbach;5 - Bus;31-142-j18
143;Deizisau - Plochingen;5 - Bus;31-143-j18
144;Kirchheim (T) -  Hochdorf - Reichenbach (F) - Plochingen;5 - Bus;31-144-j18
145;Wernau (N) Bahnhof - Katzenstein - Schmalwiesen - Bahnhof [Stadtverkehr Wernau (Neckar)];5 - Bus;31-145-j18
146;Wernau (N) Bahnhof - Schmalwiesen - Katzenstein - Bahnhof [Stadtverkehr Wernau (Neckar)];5 - Bus;31-146-j18
148;Reichenbach Rißhalde - Bahnhof - Siegenberg;5 - Bus;31-148-j18
149;Plochingen - Stumpenhof - Baltmannsweiler (- Schorndorf);5 - Bus;31-149-j18
151;Wendlingen (N) ZOB - Köngen - Wendlingen (N);5 - Bus;31-151-j18
152;Wendlingen (N) Schulzentrum - Sporthalle Im Speck - Schulzentrum;5 - Bus;31-152-j18
153;Unterensingen - Zizishausen - Oberboihingen;5 - Bus;31-153-j18
154;Wendlingen (N) ZOB - Weinhalde - ZOB;5 - Bus;31-154-j18
155;Wendlingen (N) ZOB - Unterboihingen - ZOB;5 - Bus;31-155-j18
161;Kirchheim (T) Altvaterweg - ZOB - Ötlingen;5 - Bus;31-161-j18
163;Ötlingen - Lindorf - Kirchheim (T) ZOB - Schafhof;5 - Bus;31-163-j18
165;Kirchheim (T) - Jesingen - Ohmden;5 - Bus;31-165-j18
166;Kirchheim (T) - Reudern - Säer - Nürtingen;5 - Bus;31-166-j18
166A;Oberboihingen - Reudern (Schülerverkehr);5 - Bus;31-166-a-j18
167;Nürtingen - Oberensingen - Grötzingen - Aich - Neuenhaus;5 - Bus;31-167-j18
167A;Grötzingen - Aich - Neuenhaus - Waldenbuch - Bonlanden Waldorfschule (Schülerverkehr);5 - Bus;31-167-a-j18
168;Kirchheim (T) - Notzingen - Wernau (N);5 - Bus;31-168-j18
169;Nürtingen - Gewerbegebiet Bachhalde - Nürtingen;5 - Bus;31-169-j18
170;Kirchheim (T) - Weilheim - Wiesensteig - Reußenstein (RadWanderBus Reußenstein);5 - Bus;31-170-j18
171;(Dettingen -) Owen - Nürtingen Owen - Nürtingen Krankenhaus;5 - Bus;31-171-j18
173;Kirchheim (T) - Weilheim (T) - Bissingen (T) - Kirchheim (T);5 - Bus;31-173-j18
174;Weilheim (T) - Hepsisau - Neidlingen und zurück;5 - Bus;31-174-j18
175;Kirchheim (T) - Bissingen (T) - Weilheim (T) - Kirchheim (T);5 - Bus;31-175-j18
176;(Kirchheim (T) -) Bissingen (T) - Oberlenningen;5 - Bus;31-176-j18
177;(Neidlingen -) Weilheim (T) - Kirchheim (T) - Oberlenningen;5 - Bus;31-177-j18
1771;Oberlenningen - Schopfloch - Laichingen (RadWanderBus Schwäbische Alb);5 - Bus;31-177-1-j18
178;Kirchheim (T) - Schlierbach - Göppingen;5 - Bus;31-178-j18
179;Oberlenningen - Erkenbrechtsweiler - Neuffen Oberlenningen - Erkenbrechtsweiler - Beuren - Neuffen;5 - Bus;31-179-j18
180;Neuffen - Frickenhausen - Nürtingen Beuren - Neuffen - Frickenhausen - Nürtingen;5 - Bus;31-180-j18
181;Nürtingen ZOB - Rieth;5 - Bus;31-181-j18
182;Nürtingen ZOB - Roßdorf;5 - Bus;31-182-j18
183;Nürtingen ZOB - Braike (- Waldfriedhof) - Roßdorf;5 - Bus;31-183-j18
184;Nürtingen - Zizishausen - Unterensingen - Wendlingen;5 - Bus;31-184-j18
185;Grafenberg - Großbettlingen - Nürtingen;5 - Bus;31-185-j18
186;Oberensingen - Hardt;5 - Bus;31-186-j18
187;Neckartenzlingen - Bempflingen - Großbettlingen;5 - Bus;31-187-j18
188;Nürtingen - Altdorf - Neckartenzlingen - Schlaitdorf;5 - Bus;31-188-j18
189;Neckartailfingen - Schlaitdorf - Walddorf-Häslach - Neckartenzlingen;5 - Bus;31-189-j18
190;Neckartenzlingen (- Altdorf) / (- Neuenhaus - Grötzingen) - Aich;5 - Bus;31-190-j18
191;Owen - Beuren - Hohenneuffen - Neuffen Neuffen - Hohenneuffen - Erkenbrechtsweiler - Beuren - Owen (RadWanderBus Blaue Mauer);5 - Bus;31-191-j18
192;Neuffen Bahnhof - Kohlberg - Kappishäusern;5 - Bus;31-192-j18
193;Neckartenzlingen - Bempflingen - Nürtingen;5 - Bus;31-193-j18
194;Nürt. Roßdorf - Enzenhardt - Neckarhausen;5 - Bus;31-194-j18
195;Raidwangen - Großbettlingen - Frickenhausen Frickenhausen - Großbettlingen - Nürtingen;5 - Bus;31-195-j18
196;Nürtingen - Oberboihingen - Wendlingen (N);5 - Bus;31-196-j18
197;(Reutlingen -) Metzingen - Bempflingen - Neckartenzlingen;5 - Bus;31-197-j18
198;Kohlberg - Tischardt - Frickenhausen Bahnhof;5 - Bus;31-198-j18
199;(Owen -) Beuren - Neuffen - Metzingen;5 - Bus;31-199-j18
201;Waiblingen - Neustadt - Hohenacker - Bittenfeld;5 - Bus;31-201-j18
202;Waiblingen - Endersbach - Strümpfelbach;5 - Bus;31-202-j18
204;Waiblingen - Beinstein;5 - Bus;31-204-j18
205;Waiblingen - Schmiden;5 - Bus;31-205-j18
206;Waiblingen - Endersbach - Schnait;5 - Bus;31-206-j18
207;(Korb -) Korber Höhe - Waiblingen Bf - Fellbach;5 - Bus;31-207-j18
208;Waiblingen Bf - Altstadt - Galgenberg (Citybus 1);5 - Bus;31-208-j18
209;Waiblingen - Korb - Kleinheppach - Endersbach;5 - Bus;31-209-j18
210;(Waiblingen -) Korb - Schwaikheim - Winnenden - Rems-Murr-Klinikum;5 - Bus;31-210-j18
211;Waiblingen - Stetten;5 - Bus;31-211-j18
212;(Waiblingen -) Fellbach - Rommelshausen - Stetten;5 - Bus;31-212-j18
213;Waiblingen - Hegnach;5 - Bus;31-213-j18
216;Waiblingen Bf - Industriegebiet Eisental;5 - Bus;31-216-j18
217;Buoch - Grunbach - Geradstetten - Rohrbronn;5 - Bus;31-217-j18
217a;Schulbus Remshalden Rohrbronn - Geradstetten - Grunbach (Schülerverkehr);5 - Bus;31-217-a-j18
218;Waiblingen Bf - Friedhof - Altstadt - Wasserstube (Citybus 2);5 - Bus;31-218-j18
227;Waiblingen - Schorndorf;5 - Bus;31-227-j18
228;(Schorndorf -) Rudersberg - Welzheim;5 - Bus;31-228-j18
229;Miedelsbach - Steinenberg - Krehwinkel;5 - Bus;31-229-j18
230;Lindental - Rudersberg - Mannenberg - Althütte;5 - Bus;31-230-j18
242;Schorndorf Bf - Rems-Murr-Klinik - Spittler Stift - Schorndorf Bahnhof- Rems-Murr-Klinik - Spittler Stift - Grauhalde - Rems-Murr-Klinik - Bahnhof;5 - Bus;31-242-j18
242;Schorndorf Bf - Schillerpl. - Grauh. - Schorndorf Bf Schorndorf Bf - Schillerplatz - Grauhalde - Kreiskrankenhaus - Schorndorf Bf;5 - Bus;31-242-a-j18
243;Schorndorf - Urbach Banrain - Plüderhausen Schorndorf - Urbach - Plüderhausen;5 - Bus;31-243-j18
243A;Schorndorf - Urbach - Plüderhausen;5 - Bus;31-243-a-j18
244;Schorndorf - Schornbach - Oppelsbohm;5 - Bus;31-244-j18
245;Schorndorf - Weiler - Rohrbronn - Schorndorf - Weiler - Rohrbronn - Hößlinswart (- Erlenhof) Hößlinswart (- Erlenhof);5 - Bus;31-245-j18
246;Schorndorf Bf - Erlensiedlung - Kreisverkehr Welzheimer Str. Schorndorf Bf - Erlensiedlung - Kreisverkehr Welzheimer Str.;5 - Bus;31-246-j18
246;Schorndorf Grauhalde - Wiesenstraße - Schlipfweg - Schorndorf Bf;5 - Bus;31-246-a-j18
