Abk;Name;UIC
HETT;Hettstedt;8010168
HF;Herford;8000162
HH;HAMBURG;8096009
HHH;Hamburg Hbf;8002549
HI;Hildesheim Hbf;8000169
HL;Lübeck Hbf;8000237
HM;Hameln;8000148
HML;HannoverMesseLaatzen;8003487
HN;Heilbronn Hbf;8000157
HNB;Herrnburg;8011864
HO;Hof Hbf;8002924
HOCK;Hockeroda;8010170
HOE;Höchst(Odenw);8000172
HOLT;Holthusen;8010173
HOLZ;Holzminden;8000391
HOM;Homburg(Saar)Hbf;8000176
HOR;Horb;8000177
HORK;Horka;8010174
HORR;Horrem;8000178
HOSP;Hochspeyer;8002875
HRB;Herrenberg;8002785
HRO;Rostock Hbf;8010304
HST;Stralsund;8010338
HU;Hanau Hbf;8000150
HUS;Husum;8000181
HWIN;Heldenbergen-Wind.;8000158
HY;Hoyerswerda;8010177
HZ;Herzberg(Harz);8000166
IGGR;Igel = Igel(Gr);8003042
IMM;Immendingen;8000182
IN;Ingolstadt Hbf;8000183
IS;Iserlohn;8000186
IZ;Itzehoe;8003102
JB;Jüterbog;8010182
JE;Jessen(Elster);8011960
JS;JENA;8096004
JUEB;Jübek;8000334
K;Köln Hbf;8000207
KA;Karlsruhe Hbf;8000191
KALD;Kaldenkirchen;8000190
KAM;Kamen;8003168
KAMZ;Kamenz(Sachs);8011988
KARO;Karow(Meckl);8010188
KAUF;Kaufering;8000195
KB;Korbach;8000210
KBR;Königsbrück;8012067
KE;Kempten(Allgäu)Hbf;8000197
KEGR;Kehl(Gr);8000008
KEHL;Kehl;8003218
KEHR;Köln-Ehrenfeld;8000208
KF;Kaufbeuren;8000194
KH;Bad Kreuznach;8000021
KI;Kiel Hbf;8000199
KL;Kaiserslautern Hbf;8000189
KLB;Kirchenlaibach;8000201
KLE;Kleve;8000205
KLG;Kißlegg;8000203
KNR;Knappenrode;8010192
KO;Koblenz Hbf;8000206
KOET;Köthen;8010195
KON;Könnern;8010194
KR;Krefeld Hbf;8000211
KREI;Kreiensen;8000213
KREU;Kreuztal;8000214
KS;Kassel-Wilhelmshöhe;8003200
KTW;Kettwig;8000198
KUF;Kufstein;8003475
KW;Königs Wusterhausen;8010193
L;LEIPZIG;8096008
LA;Landshut(Bay)Hbf;8000217
LAA;Laage(Meckl);8012143
LAGE;Lage(Lippe);8000215
LAHA;Langhagen;8010201
LANG;Langmeil(Pfalz);8000219
LAUD;Lauda;8000221
LAUT;Lauterbach(Hess)Nord;8000222
LAWL;Langwedel;8000586
LB;Ludwigsburg;8000235
LBB;Lübbenau(Spreew);8010220
LBG;Langenberg(Rheinl);8003529
LCH;Laucha(Unstrut);8012167
LD;Landau(Pfalz)Hbf;8000216
LEES;Leese-Stolzenau;8000335
LEHR;Lehrte;8000226
LEIF;Leinefelde;8010203
LER;Leer(Ostfriesl);8000225
LETM;Letmathe;8000227
LEUT;Leutkirch;8000336
LEVM;Leverkusen Mitte;8006713
LG;Lüneburg;8000238
LI;Lindau Hbf;8000230
LIF;Lichtenfels;8000228
LLEU;Leipzig-Leutzsch;8010207
LM;Limburg(Lahn);8000229
LN;Lübben(Spreewald);8010217
LOEB;Löbau(Sachs);8010212
LOEH;Löhne(Westf);8000233
LOH;Lohmen;8012249
LOLL;Lollar;8000234
LOW;Löwenberg(Mark);8010214
LPLA;Leipzig-Plagwitz;8010209
LSZ;Bad Langensalza;8010020
LU;Ludwigshafen(Rh)Hbf;8000236
LUEN;Lünen Hbf;8000239
LUF;Ludwigsfelde;8010215
LWL;Ludwigslust;8010216
M;München Hbf;8000261
MA;Mannheim Hbf;8000244
MAK;Marktredwitz;8000247
MALS;Malsfeld;8000243
MARG;Markkleeberg;8012308
MCK;Mühlacker;8000339
MD;Magdeburg Hbf;8010224
MDHK;Magdeburg Herrenkrug;8013455
MDR;Magdeburg-Rothensee;8010086
MEHL;Mehltheuer;8010229
MEI;Meißen;8012326
MELL;Mellingen(Thür);8012332
MER;Merseburg;8010232
MET;Mellrichstadt Bf;8003959
MG;Mönchengladbach Hbf;8000253
MH;Mülheim(Ruhr)Hbf;8000259
MI;Minden(Westf);8000252
MIDO;Michendorf;8010233
MIL;Miltenberg;8000640
MIN;Mindelheim;8000338
MIW;Mittweida;8012369
MM;Memmingen;8000249
MOST;München Ost;8000262
MPAS;München-Pasing;8004158
MR;Marburg(Lahn);8000337
MS;Münster(Westf)Hbf;8000263
MUE;Mühldorf(Oberbay);8000258
MY;Mayen Ost = MAYEN;8000248
MZ;Mainz Hbf;8000240
MZBI;Mainz-Bischofsheim;8000241
N;Nürnberg Hbf;8000284
NAU;Nauen;8010239
NB;Neubrandenburg;8010241
NDD;Neudietendorf;8010242
NDF;Narsdorf;8010238
NDH;Nordhausen;8010256
NE;Neuss Hbf;8000274
NEA;Neustadt(Aisch)Bahnh;8004323
NECK;Neckarelz;8000264
NENN;Bad Nenndorf;8000022
NEUD;Neustadt(Dosse);8010248
NEUF;Neufahrn(Niederbay);8000688
NEUK;Neukieritzsch;8010243
NEUS;Neustadt(Sachs);8010249
NEUZ;Neuzelle;8012479
NGM;Neckargemünd;8000265
NI;Nienburg(Weser);8000279
NIDD;Nidda;8000277
NILA;Niederlahnstein;8000278
NK;Neunkirchen(Saar)Hbf;8000272
NKN;Neukirchen(b Sulzb);8000269
NMB;Naumburg(Saale)Hbf;8010240
NMK;Neumark(Sachs);8010244
NMS;Neumünster;8000271
NMV;Neumarkt-St Veit;8000720
NMW;Neuenmarkt-Wirsberg;8000267
NOE;Nördlingen;8000280
NOEL;Neuoelsnitz;8010245
NOM;Northeim(Han);8000283
NP;Neuruppin;8010246
NR;Neuwied;8000276
NST;Nordstemmen;8000282
NW;Neustadt(Weinstr)Hbf;8000275
NWAL;Niederwalgern;8004417
NZ;Neustrelitz Hbf;8010250
