BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
;;604;604030;;Melby - Dyssekilde;Mel-Dsk;30,59;31,67;;Privatbane;Fri Bane;;566;4
;;604;604031;;Dyssekilde;Dsk;31,67;32,47;31,9;Privatbane;Station;;567;STED
;;604;604032;;Dyssekilde - Østerbjerg;Dsk-Øsf;32,47;33,69;;Privatbane;Fri Bane;;568;4
;;604;604033;;Østerbjerg;Øsf;33,69;34,47;33,9;Privatbane;Station;;569;STED
;;604;604036;;Østerbjerg - Hundested;Øsf-Hun;34,47;38,84;;Privatbane;Fri Bane;;570;4
;;604;604036;604037;Vibehus;Vif;;;37,1;Privatbane;Trinbræt;;571;STED
;;604;604039;;Hundested;Hun;38,84;39,3;39;Privatbane;Station;;572;STED
;;604;604041;;Hundested Havn;Huh;39,3;39,78;39,6;Privatbane;Station;;573;STED
;;605;605002;;Helsingør - Grønnehave;Hg-Grø;0;0,7;;Privatbane;Fri Bane;;574;3
;;605;605003;;Grønnehave;Grø;0,7;1,2;0,9;Privatbane;Station;;575;STED
;;605;605004;;Grønnehave - Højstrup;Grø-Høp;1,2;2,11;;Privatbane;Fri Bane;;576;4
;;605;605004;605035;Marienlyst;Mar;;;1,5;Privatbane;Trinbræt;;577;STED
;;605;605005;;Højstrup;Høp;2,11;2,59;2,4;Privatbane;Station;;578;STED
;;605;605006;;Højstrup - Hellebæk;Høp-Hel;2,59;5,41;;Privatbane;Fri Bane;;579;4
;;605;605007;;Hellebæk;Hel;5,41;5,8;5,6;Privatbane;Station;;580;STED
;;605;605008;;Hellebæk - Ålsgårde;Hel-Aal;5,8;6,7;;Privatbane;Fri Bane;;581;4
;;605;605009;;Ålsgårde;Aal;6,7;7,6;7;Privatbane;Station;;582;STED
;;605;605010;;Ålsgårde - Saunte;Aal-Sau;7,6;10,33;;Privatbane;Fri Bane;;583;4
;;605;605010;605087;Skibstrup;Skb;;;8,7;Privatbane;Trinbræt;;584;STED
;;605;605013;;Saunte;Sau;10,33;10,82;10,6;Privatbane;Station;;585;STED
