BANENR;TIB;HVDSTRK;STRKAFS;TRINBRAET;NAVN;FORKORTELSE;FRAKM;TILKM;STATIONSMIDTE;BANEKLASSE;BTRTYPE;BEMAERKNING;SORT_ORDER;FILTER
11a;1,6,10,11;1;11000;;København H;Kh;0;1,685;0;Hovedbane;Station;;1;STED
11a;1;1;12002;;København H - Hvidovre Fjern;Kh-Hif;1,685;6,23;;Hovedbane;Fri Bane;;2;3
11a;1;1;12002;12003;Valby;Val;;;3,925;Hovedbane;Trinbræt;;3;STED
11a;1,11;1;12007;;Hvidovre Fjern;Hif;6,23;8,37;7,3;Hovedbane;Teknisk Station;;4;STED
11a;1;1;12010;;Hvidovre Fjern - Glostrup;Hif-Gl;8,37;10,594;;Hovedbane;Fri Bane;;5;4
11a;1;1;12011;;Glostrup;Gl;10,594;12,526;11,214;Hovedbane;Station;;6;STED
11a;1;1;12014;;Glostrup - Høje Taastrup;Gl-Htå;12,526;18,204;;Hovedbane;Fri Bane;;7;3
11b;1;1;12019;;Høje Taastrup;Htå;18,204;20,987;19,5;Hovedbane;Station;;8;STED
11b;;1;12519;;Høje Taastrup kombiterminal;Htås;20,92;22,005;;Hovedbane;Kombiterminal;;9;STED
11b;1;1;12022;;Høje Taastrup - Roskilde;Htå-Ro;20,987;30,089;;Hovedbane;Fri Bane;;10;4
11b;1;1;12022;12025;Hedehusene;Hh;;;24,176;Hovedbane;Trinbræt;;11;STED
11b;1;1;12022;12029;Trekroner;Trk;;;28,3;Hovedbane;Trinbræt;;12;STED
11b;1,4,5;1;13000;;Roskilde;Ro;30,089;32,927;31,253;Hovedbane;Station;;13;STED
12;1;1;14034;;Roskilde - Viby Sjælland;Ro-Vy;32,927;41,592;;Hovedbane;Fri Bane;;14;3
12;1;1;14043;;Viby Sjælland;Vy;41,592;43,547;42,475;Hovedbane;Station;;15;STED
12;1;1;14044;;Viby Sjælland - Borup;Vy-Bo;43,547;48,802;;Hovedbane;Fri Bane;;16;3
12;1;1;14049;;Borup;Bo;48,802;50,55;49,725;Hovedbane;Station;;17;STED
12;1;1;14052;;Borup - Kværkeby;Bo-Ky;50,55;55,913;;Hovedbane;Fri Bane;;18;3
12;1;1;14057;;Kværkeby;Ky;55,913;57,781;56,605;Hovedbane;Teknisk Station;;19;STED
12;1;1;14058;;Kværkeby - Ringsted;Ky-Rg;57,781;61,494;;Hovedbane;Fri Bane;;20;3
12;1,2,6;1;15000;;Ringsted;Rg;61,494;65,332;63,904;Hovedbane;Station;;21;STED
13;1;1;16066;;Ringsted - Fjenneslev;Rg-Fj;65,332;70,608;;Hovedbane;Fri Bane;;22;3
13;1;1;16071;;Fjenneslev;Fj;70,608;72,792;71,5;Hovedbane;Teknisk Station;;23;STED
13;1;1;16074;;Fjenneslev - Sorø;Fj-So;72,792;77,555;;Hovedbane;Fri Bane;;24;3
13;1;1;16079;;Sorø;So;77,555;79,505;78,342;Hovedbane;Station;;25;STED
13;1;1;16080;;Sorø - Slagelse;So-Sg;79,505;91,803;;Hovedbane;Fri Bane;;26;3
13;1,615;1;16093;;Slagelse;Sg;91,803;94,169;92,91;Hovedbane;Station;;28;STED
13;1;1;16096;;Slagelse - Forlev;Sg-Fo;94,169;99,604;;Hovedbane;Fri Bane;;29;3
13;1;1;16101;;Forlev;Fo;99,604;101,803;100;Hovedbane;Teknisk Station;;30;STED
13;1;1;16102;;Forlev - Korsør;Fo-Kø;101,803;107,183;;Hovedbane;Fri Bane;;31;3
14;1;1;16111;;Korsør;Kø;107,183;109,882;108,268;Hovedbane;Station;;32;STED
14;1;1;16114;;Korsør - Sprogø;Kø-Spr;109,882;119,401;;Hovedbane;Fri Bane;;33;3
14;1;1;16121;;Sprogø;Spr;119,401;121,579;120,2;Hovedbane;Teknisk Station;;34;STED
14;1;1;16124;;Sprogø - Nyborg;Spr-Ng;121,579;129,843;;Hovedbane;Fri Bane;;35;4
14;1;1;16127;;Nyborg;Ng;129,843;132,968;131,6;Hovedbane;Station;;36;STED
20;6;2;20006;;Vigerslev - Avedøre Havnevej;Ig-Avh;6,33;9,061;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;37;3
20;6;2;20009;;Avedøre Havnevej;Avh;9,061;9,201;9,131;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;38;STED
20;6;2;20010;;Avedøre Havnevej - Kildebrønde;Avh-Kib;9,201;20,82;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;39;4
20;6;2;20021;;Kildebrønde;Kib;20,82;22,552;21,686;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;40;STED
20;6;2;20024;;Kildebrønde - Jersie Fjern;Kib-Jsf;22,552;31,966;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;41;4
20;6;2;20033;;Jersie Fjern;Jsf;31,966;33,529;32,748;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;42;STED
20;6;2;20034;;Jersie Fjern - Køge Nord;Jsf-Kjn;33,529;34,092;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;43;4
20;6;2;21000;;Køge Nord;Kjn;34,092;36,426;35,306;Hovedbane;Station;Ig-Rg, ATC 072008 i ProArc 020999;44;STED
20;6;2;21036;;Køge Nord - Lellinge;Kjn-Lel;36,426;38,912;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;45;4
20;6;2;21039;;Lellinge;Lel;38,912;40,213;39,563;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;46;STED
20;6;2;21042;;Lellinge - Bjæverskov;Lel-Bjs;40,213;45,237;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;47;4
20;6;2;21047;;Bjæverskov;Bjs;45,237;46,957;46,097;Hovedbane;Teknisk Station;Ig-Rg, ATC 072008 i ProArc 020999;48;STED
20;6;2;21048;;Bjæverskov - Ringsted;Bjs-Rg;46,957;59,186;;Hovedbane;Fri Bane;Ig-Rg, ATC 072008 i ProArc 020999;49;4
20;6;2;21048;21059;Adamshøj;Ada;58,67;58,97;58,82;Hovedbane;Teknisk Lokation;Ig-Rg, ATC 072008 i ProArc 020999;50;STED
21;2;2;22066;;Ringsted - Næstved;Rg-Næ;66,325;89,495;;Regionalbane;Fri Bane;(Ny slut-km er 89,546)  Ændres ved Mbæ ibrug 2028;51;3
21;2;2;22066;22075;Glumsø;Gz;;;75,984;Regionalbane;Trinbræt;Nyt Trinbræt;52;STED
21;2,4;2;23000;;Næstved;Næ;89,495;93,132;90,706;Regionalbane;Station;Km ændres efter ERTMS i 2020;53;STED
21;2;2;24096;;Næstved - Lundby;Næ-Lu;93,132;105,272;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;54;3
21;2;2;24109;;Lundby;Lu;105,272;107,072;106,689;Regionalbane;Station;Km ændres efter ERTMS i 2020;56;STED
21;2;2;24110;;Lundby - Vordingborg;Lu-Vo;107,072;116,622;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;57;3
21;2;2;24121;;Vordingborg;Vo;116,622;119,366;118,073;Regionalbane;Station;Km ændres efter ERTMS i 2020;58;STED
21;2;2;24122;;Vordingborg - Masnedø;Vo-Mn;119,366;121,237;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;59;3
21;2;2;24123;;Masnedø;Mn;121,237;122,668;121,9;Regionalbane;Teknisk Station;Km ændres efter ERTMS i 2020;60;STED
21;2;2;24124;;Masnedø - Orehoved;Mn-Oh;122,668;126,668;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;61;3
21;2;2;26003;;Orehoved;Oh;126,668;128,525;127,323;Regionalbane;Teknisk Station;Km ændres efter ERTMS i 2020;62;STED
21;2;2;26004;;Orehoved - Nørre Alslev;Oh-Nv;128,525;131,337;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;63;3
21;2;2;26007;;Nørre Alslev;Nv;131,337;133,057;132,265;Regionalbane;Station;Km ændres efter ERTMS i 2020;64;STED
21;2;2;26010;;Nørre Alslev - Eskilstrup;Nv-Ek;133,057;135,852;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;65;3
21;2;2;26011;;Eskilstrup;Ek;135,852;137,575;136,751;Regionalbane;Station;Km ændres efter ERTMS i 2020;66;STED
21;2;2;26014;;Eskilstrup - Tingsted;Ek-Tn;137,575;139,967;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;67;3
21;2;2;26015;;Tingsted;Tn;139,967;141,708;140,852;Regionalbane;Teknisk Station;Km ændres efter ERTMS i 2020;68;STED
21;2;2;26018;;Tingsted - Nykøbing Falster;Tn-Nf;141,708;145,239;;Regionalbane;Fri Bane;Km ændres efter ERTMS i 2020;69;3
21;2,3;2;27000;;Nykøbing Falster;Nf;145,239;147,835;146,831;Regionalbane;Station;Km ændres efter ERTMS i 2020;70;STED
22;2;2;28002;;Nykøbing Falster - Nykøbing Falster Vest;Nf-Nfv;147,835;148,414;;Lokalbane I;Fri Bane;Km ændres efter ERTMS i 2020;71;3
22;2;2;28003;;Nykøbing Falster Vest;Nfv;148,414;149,691;148,677;Lokalbane I;Teknisk Station;Km ændres efter ERTMS i 2020;72;STED
22;2;2;28004;;Nykøbing Falster Vest - Rødby Øst;Nfv-Rfø;149,691;180,6;;Lokalbane I;Fri Bane;Km ændres efter ERTMS i 2020;73;4
22;2;2;28033;;Rødby Øst;Rfø;180,6;181,816;181,2;Lokalbane I;Teknisk Station;Km ændres efter ERTMS i 2020;74;STED
22;2;2;28034;;Rødby Øst - Rødby Færge;Rfø-Rf;181,816;182,538;;Lokalbane I;Fri Bane;Km ændres efter ERTMS i 2020;75;4
22;2;2;29000;;Rødby Færge;Rf;182,538;183,514;183,2;Lokalbane I;Station;Km ændres efter ERTMS i 2020;76;STED
30;3;3;32024;;Nykøbing Falster - Væggerløse;Nf-Vø;147,975;152,826;;Lokalbane II;Fri Bane;;77;3
30;3;3;32029;;Væggerløse;Vø;152,826;153,959;153,515;Lokalbane II;Teknisk Station;;78;STED
30;3;3;32030;;Væggerløse - Fiskebæk;Vø-Fi;153,959;161,436;;Lokalbane II;Fri Bane;;79;3
30;3;3;32037;;Fiskebæk;Fi;161,436;162,542;161,913;Lokalbane II;Teknisk Station;;80;STED
30;3;3;32038;;Fiskebæk - Gedser;Fi-Ge;162,542;168,883;;Lokalbane II;Fri Bane;;81;3
30;3;3;33000;;Gedser;Ge;168,883;169,963;169,856;Lokalbane II;Station;;82;STED
40;4,1004;4;42034;;Roskilde - Gadstrup;Ro-Gt;32,291;38,585;;Lokalbane I;Fri Bane;;83;3
40;1004;4;42039;;Gadstrup;Gt;38,585;40,389;39,438;Lokalbane I;Station;;84;STED
40;1004;4;42042;;Gadstrup - Havdrup;Gt-Hd;40,389;42,039;;Lokalbane I;Fri Bane;;85;3
40;1004;4;42043;;Havdrup;Hd;42,039;43,868;42,887;Lokalbane I;Station;;86;STED
40;1004;4;42044;;Havdrup - Lille Skensved;Hd-Lw;43,868;45,999;;Lokalbane I;Fri Bane;;87;3
40;1004;4;42047;;Lille Skensved;Lw;45,999;47,806;46,772;Lokalbane I;Station;;88;STED
40;4,1004;4;42048;;Lille Skensved - Køge;Lw-Kj;47,806;52,095;;Lokalbane I;Fri Bane;;89;3
40;4;4;42048;42051;Ølby;Ølb;;;50,9;Lokalbane I;Trinbræt;;90;STED
40;4;4;42053;;Køge;Kj;52,095;54,701;53,679;Lokalbane I;Station;;91;STED
40;4;4;42056;;Køge - Herfølge;Kj-Hf;54,701;58,35;;Lokalbane I;Fri Bane;;92;3
40;4;4;42059;;Herfølge;Hf;58,35;60,088;59,239;Lokalbane I;Station;;93;STED
40;4;4;42060;;Herfølge - Tureby;Hf-Th;60,088;64,691;;Lokalbane I;Fri Bane;;94;3
40;4;4;42065;;Tureby;Th;64,691;66,384;65,569;Lokalbane I;Station;;95;STED
40;4;4;42068;;Tureby - Haslev;Th-Hz;66,384;73,458;;Lokalbane I;Fri Bane;;96;3
40;4;4;42075;;Haslev;Hz;73,458;75,184;74,359;Lokalbane I;Station;;97;STED
40;4;4;42076;;Haslev - Holme-Olstrup;Hz-Ol;75,184;84,293;;Lokalbane I;Fri Bane;;98;3
40;4;4;42085;;Holme-Olstrup;Ol;84,293;86,021;85,262;Lokalbane I;Station;;99;STED
40;4;4;42086;;Holme-Olstrup - Næstved;Ol-Næ;86,021;91,674;;Lokalbane I;Fri Bane;;100;3
40;4;4;42086;42089;Næstved Nord;Næn;;;89,578;Lokalbane I;Trinbræt;;101;STED
79;5;5;52034;;Roskilde - Lejre;Ro-Lj;32,927;39,606;;Regionalbane;Fri Bane;;102;3
79;5;5;52041;;Lejre;Lj;39,606;41,738;40,776;Regionalbane;Station;;103;STED
79;5;5;52042;;Lejre - Hvalsø;Lj-Hv;41,738;47,268;;Regionalbane;Fri Bane;;104;3
79;5;5;52049;;Hvalsø;Hv;47,268;50,625;48,318;Regionalbane;Station;;105;STED
79;5;5;52050;;Hvalsø - Tølløse;Hv-Tø;50,625;53,705;;Regionalbane;Fri Bane;;106;3
79;5,616;5;52055;;Tølløse;Tø;53,705;55,936;54,6;Regionalbane;Station;;107;STED
79;5;5;52056;;Tølløse - Vipperød;Tø-Pe;55,936;60,522;;Regionalbane;Fri Bane;;108;3
79;5;5;52061;;Vipperød;Pe;60,522;62,067;61,16;Regionalbane;Station;;109;STED
79;5;5;52062;;Vipperød - Holbæk;Pe-Hk;62,067;65,656;;Regionalbane;Fri Bane;;110;3
79;5;5;52067;;Holbæk;Hk;65,656;67,885;67,005;Regionalbane;Station;;111;STED
51;5;5;52068;;Holbæk - Regstrup;Hk-Rt;67,885;74,662;;Lokalbane I;Fri Bane;;112;3
51;5;5;52075;;Regstrup;Rt;74,662;75,884;75,177;Lokalbane I;Station;;113;STED
51;5;5;52076;;Regstrup - Mørkøv;Rt-Mø;75,884;82,266;;Lokalbane I;Fri Bane;;114;3
51;5;5;52076;52079;Knabstrup;Ks;;;79,432;Lokalbane I;Trinbræt;;115;STED
51;5;5;52083;;Mørkøv;Mø;82,266;83,498;82,923;Lokalbane I;Station;;116;STED
51;5;5;52084;;Mørkøv - Jyderup;Mø-Jy;83,498;88,834;;Lokalbane I;Fri Bane;;117;3
51;5;5;52089;;Jyderup;Jy;88,834;90,063;89,523;Lokalbane I;Station;;118;STED
51;5;5;52092;;Jyderup - Svebølle;Jy-Se;90,063;96,308;;Lokalbane I;Fri Bane;;119;3
51;5;5;52097;;Svebølle;Se;96,308;97,825;97,173;Lokalbane I;Station;;120;STED
51;5;5;52098;;Svebølle - Værslev;Se-Væ;97,825;102,053;;Lokalbane I;Fri Bane;;121;3
51;5;5;52103;;Værslev;Væ;102,053;103,944;102,924;Lokalbane I;Teknisk Station;;122;STED
51;5;5;52104;;Værslev - Kalundborg;Væ-Kb;103,944;109,334;;Lokalbane I;Fri Bane;;123;3
51;5;5;52104;52109;Kalundborg Øst;Kbø;;;108,39;Lokalbane I;Trinbræt;;124;STED
51;5;5;53000;;Kalundborg;Kb;109,334;110,586;110,586;Lokalbane I;Station;;125;STED
19;6;7;70002;;København H - København G;Kh-Gb;2,425;2,74;;Hovedbane;Fri Bane;Ændres ved SP på Kh-Kjn-Rg;126;3
19;6;7;71000;;København G;Gb;2,74;3,665;3,2;Hovedbane;Teknisk Station;Ændres ved SP på Kh-Kjn-Rg;127;STED
19;6;7;72002;;København G - Vigerslev;Gb-Ig;3,665;4,75;;Hovedbane;Fri Bane;Ændres ved SP på Kh-Kjn-Rg;128;3
19;6;7;72002;72045;Ny Ellebjerg;Nel;;;4,571;Hovedbane;Trinbræt;Ændres ved SP på Kh-Kjn-Rg;129;STED
19;6,11;7;72003;;Vigerslev;Ig;4,75;6,936;6,2;Hovedbane;Teknisk Station;Ændres ved SP på Kh-Kjn-Rg;130;STED
19;11;7;72006;;Vigerslev - Hvidovre Fjern;Ig-Hif;6,936;7,285;;Hovedbane;Fri Bane;Ændres ved SP på Kh-Kjn-Rg;131;3
70;7;7;76012;;Lersøen - Svanemøllen;Ler-Sam;11,788;12,404;;Godsbane;Fri Bane;;132;4
70;7;7;76013;;Svanemøllen;Sam;12,404;13,238;12,7;Godsbane;Teknisk Station;;133;STED
70;7;7;76014;;Svanemøllen - Østerport;Sam-Kk;13,238;13,995;;Godsbane;Fri Bane;;134;4
70;7;7;77000;;Østerport;Kk;13,995;15,317;0;Godsbane;Teknisk Station;;135;STED
;;9;92038;;Hillerød - Fredensborg;Hi-Fd;37,366;44,889;;Privatbane;Fri Bane;;136;3
;;9;92038;92041;Grønholt;Grt;;;41,7;Privatbane;Trinbræt;;137;STED
;;9;92038;92043;Kratbjerg;Krb;;;43,8;Privatbane;Trinbræt;;138;STED
;;9;92045;;Fredensborg;Fd;44,889;46,123;45,404;Privatbane;Station;;139;STED
;;9;92048;;Fredensborg - Snekkersten;Fd-Sq;46,123;56,804;;Privatbane;Fri Bane;;140;3
;;9;92048;92049;Langerød;Lrt;;;48,3;Privatbane;Trinbræt;;141;STED
;;9;92048;92051;Kvistgård;Kå;;;51,71;Privatbane;Trinbræt;;142;STED
;;9;92048;92055;Mørdrup;Møt;;;54;Privatbane;Trinbræt;;143;STED
10;10;10;101000;;København H;Kh;0;0,93;0;Hovedbane;Station;;144;STED
10;10;10;102002;;København H - Østerport;Kh-Kk;0,93;2,113;;Regionalbane;Fri Bane;;145;3
10;10;10;102002;102027;Nørreport;Kn;;;1,5;Regionalbane;Trinbræt;;146;STED
10;10;10;102003;;Østerport;Kk;2,113;3,928;3,055;Regionalbane;Station;;147;STED
10;10;10;102004;;Østerport - Helgoland;Kk-Hgl;3,928;4,809;;Regionalbane;Fri Bane;;148;3
10;10;10;102005;;Helgoland;Hgl;4,809;6,389;5,2;Regionalbane;Teknisk Station;;149;STED
10;10;10;102006;;Helgoland - Hellerup;Hgl-Hl;6,389;7,043;;Regionalbane;Fri Bane;;150;4
10;10;10;103000;;Hellerup;Hl;7,043;8,896;7,825;Regionalbane;Station;;151;STED
10;10;10;104010;;Hellerup - Klampenborg;Hl-Kl;8,896;12,722;;Regionalbane;Fri Bane;;152;3
10;10;10;104013;;Klampenborg;Kl;12,722;13,932;13,312;Regionalbane;Station;;153;STED
10;10;10;104014;;Klampenborg - Skodsborg;Kl-Så;13,932;17,902;;Regionalbane;Fri Bane;;154;3
10;10;10;104017;;Skodsborg;Så;17,902;19,522;18,808;Regionalbane;Station;;155;STED
10;10;10;104020;;Skodsborg - Rungsted kyst;Så-Ru;19,522;25,224;;Regionalbane;Fri Bane;;156;3
10;10;10;104020;104023;Vedbæk;Vb;;;22,158;Regionalbane;Trinbræt;;157;STED
10;10;10;104025;;Rungsted Kyst;Ru;25,224;26,598;26,051;Regionalbane;Station;;158;STED
10;10;10;104028;;Rungsted Kyst - Nivå;Ru-Ni;26,598;31,998;;Regionalbane;Fri Bane;;159;3
10;10;10;104028;104029;Kokkedal;Ok;;;29,074;Regionalbane;Trinbræt;;160;STED
10;10;10;104033;;Nivå;Ni;31,998;33,526;32,484;Regionalbane;Station;;161;STED
10;10;10;104034;;Nivå - Snekkersten;Ni-Sq;33,526;41,952;;Regionalbane;Fri Bane;;162;3
10;10;10;104034;104037;Humlebæk;Hum;;;36,261;Regionalbane;Trinbræt;;163;STED
10;10;10;104034;104041;Espergærde;Gæ;;;40;Regionalbane;Trinbræt;;164;STED
10;10;10;105000;;Snekkersten;Sq;41,952;43,388;42,718;Regionalbane;Station;;165;STED
10;10;10;106044;;Snekkersten - Helsingør;Sq-Hg;43,388;44,93;;Regionalbane;Fri Bane;;166;3
10;10;10;107000;;Helsingør;Hg;44,93;46,164;46,161;Regionalbane;Station;;167;STED
50;11;12;122020;;København H - Bavnehøj;Kh-Ban;1,9;2,05;;Hovedbane;Fri Bane;;168;3
50;11;12;122033;;Bavnehøj;Ban;2,05;3,326;2,7;Hovedbane;Teknisk Station;;169;STED
50;11;12;122038;;Bavnehøj - Kalvebod;Ban-Klv;3,326;3,8;;Hovedbane;Fri Bane;;170;4
50;11;12;123000;;Kalvebod;Klv;3,8;5,366;4,8;Hovedbane;Teknisk Station;;171;STED
50;11;12;124006;;Kalvebod - Københavns Lufthavn Kastrup;Klv-Cph;5,366;10,143;;Hovedbane;Fri Bane;;172;4
50;11;12;124006;124007;Ørestad;Øre;;;7,186;Hovedbane;Trinbræt;;173;STED
50;11;12;124006;124009;Tårnby;Tåt;;;8,626;Hovedbane;Trinbræt;;174;STED
50;11;12;125000;;Københavns Lufthavn Kastrup;Cph;10,143;14,505;11,8;Hovedbane;Station;;175;STED
50;11;12;126016;;Københavns Lufthavn Kastrup - Peberholm;Cph-Phm;14,505;18,2;;Hovedbane;Fri Bane;;176;4
50;11;12;129002;;Vigerslev - Kalvebod;Ig-Klv;2,31;3,35;;Hovedbane;Fri Bane;;178;3
78;21;21;212002;;Odense - Fruens Bøge;Od-Frs;1,458;4,549;;Lokalbane I;Fri Bane;;179;3
78;21;21;212002;212003;Odense Sygehus;Oss;;;3,813;Lokalbane I;Trinbræt;;180;STED
78;21;21;212005;;Fruens Bøge;Frs;4,549;5,613;5,3;Lokalbane I;Station;;181;STED
78;21;21;212006;;Fruens Bøge - Højby;Frs-Høs;5,613;10,421;;Lokalbane I;Fri Bane;;182;4
78;21;21;212006;212007;Hjallese;Hjs;;;6,896;Lokalbane I;Trinbræt;;183;STED
78;21;21;212011;;Højby;Høs;10,421;11,751;11,025;Lokalbane I;Station;;184;STED
78;21;21;212012;;Højby - Årslev;Høs-Ås;11,751;14,367;;Lokalbane I;Fri Bane;;185;4
78;21;21;212015;;Årslev;Ås;14,367;15,411;14,946;Lokalbane I;Station;;186;STED
78;21;21;212016;;Årslev - Ringe;Ås-Re;15,411;21,937;;Lokalbane I;Fri Bane;;187;3
78;21;21;212016;212017;Pederstrup;Pds;;;17,4;Lokalbane I;Trinbræt;;188;STED
78;21;21;212023;;Ringe;Re;21,937;23,968;22,368;Lokalbane I;Station;;189;STED
78;21;21;212024;;Ringe - Kværndrup;Re-Kvs;23,968;29,605;;Lokalbane I;Fri Bane;;190;3
78;21;21;212024;212027;Rudme;Rus;;;27,194;Lokalbane I;Trinbræt;;191;STED
78;21;21;212029;;Kværndrup;Kvs;29,605;30,535;30,188;Lokalbane I;Station;;192;STED
78;21;21;212032;;Kværndrup - Stenstrup;Kvs-Sts;30,535;35,342;;Lokalbane I;Fri Bane;;193;4
78;21;21;212035;;Stenstrup;Sts;35,342;36,334;35,598;Lokalbane I;Station;;194;STED
78;21;21;212038;;Stenstrup - Svendborg;Sts-Svg;36,334;47,466;;Lokalbane I;Fri Bane;;195;4
78;21;21;212038;212039;Stenstrup Syd;Sis;;;36,952;Lokalbane I;Trinbræt;;196;STED
78;21;21;212038;212045;Svendborg Vest;Svv;;;45,695;Lokalbane I;Trinbræt;;197;STED
78;21;21;213000;;Svendborg;Svg;47,466;48,39;48,22;Lokalbane I;Station;;198;STED
15a;1;22;222002;;Nyborg - Hjulby;Ng-Ju;132,968;135,662;;Hovedbane;Fri Bane;;199;3
15a;1;22;222005;;Hjulby;Ju;135,662;137,234;136,648;Hovedbane;Teknisk Station;;200;STED
15a;1;22;222006;;Hjulby - Ullerslev;Ju-Uv;137,234;140,994;;Hovedbane;Fri Bane;;201;3
15a;1;22;222011;;Ullerslev;Uv;140,994;142,707;141,544;Hovedbane;Teknisk Station;;202;STED
15a;1;22;222012;;Ullerslev - Marslev;Uv-Mv;142,707;150,15;;Hovedbane;Fri Bane;;203;3
15a;1;22;222012;222015;Langeskov;Lv;;;146,6;Hovedbane;Trinbræt;;204;STED
15a;1;22;222019;;Marslev;Mv;150,15;151,707;151,023;Hovedbane;Teknisk Station;;205;STED
15a;1;22;222022;;Marslev - Odense;Mv-Od;151,707;159,584;;Hovedbane;Fri Bane;;206;3
15b;1,21;22;223000;;Odense;Od;159,584;161,779;160,32;Hovedbane;Station;;207;STED
16;1;22;224032;;Odense - Holmstrup;Od-Hp;161,779;168,296;;Hovedbane;Fri Bane;;208;3
16;1;22;224037;;Holmstrup;Hp;168,296;169,624;168,996;Hovedbane;Station;;209;STED
16;1;22;224040;;Holmstrup - Tommerup;Hp-Tp;169,624;174,539;;Hovedbane;Fri Bane;;210;3
16;1;22;224045;;Tommerup;Tp;174,539;176,338;175,485;Hovedbane;Station;;211;STED
16;1;22;224046;;Tommerup - Aarup;Tp-Ap;176,338;183,414;;Hovedbane;Fri Bane;;212;3
16;1;22;224046;224047;Skalbjerg;Sc;;;178,753;Hovedbane;Trinbræt;;213;STED
16;1;22;224046;224049;Bred;Bd;;;181,121;Hovedbane;Trinbræt;;215;STED
16;1;22;224053;;Aarup;Ap;183,414;185,41;184,855;Hovedbane;Station;;216;STED
16;1;22;224056;;Aarup - Ejby;Ap-Eb;185,41;193,588;;Hovedbane;Fri Bane;;217;3
16;1;22;224056;224059;Gelsted;Gd;;;190,209;Hovedbane;Trinbræt;;219;STED
16;1;22;224063;;Ejby;Eb;193,588;195,414;194,802;Hovedbane;Station;;220;STED
16;1;22;224066;;Ejby - Kavslunde;Eb-Ka;195,414;203,102;;Hovedbane;Fri Bane;;221;3
16;1;22;224066;224069;Nørre Aaby;Na;;;200,113;Hovedbane;Trinbræt;;223;STED
16;1;22;224073;;Kavslunde;Ka;203,102;205,265;204,288;Hovedbane;Station;;224;STED
16;1;22;224074;;Kavslunde - Middelfart;Ka-Md;205,265;209,499;;Hovedbane;Fri Bane;;225;3
16;1;22;224079;;Middelfart;Md;209,499;211,241;210,382;Hovedbane;Station;;226;STED
16;1;22;224080;;Middelfart - Snoghøj;Md-Sno;211,241;214,479;;Hovedbane;Fri Bane;;227;3
16;1;22;224085;;Snoghøj;Sno;214,479;216,478;216,212;Hovedbane;Teknisk Station;;228;STED
16;1;22;224086;;Snoghøj - Fredericia;Sno-Fa;216,478;219,193;;Hovedbane;Fri Bane;;229;4
16;1,23,26;22;225000;;Fredericia;Fa;219,193;221,975;220,585;Hovedbane;Station;;230;STED
16;26;22;225801;;Fredericia godsstation;Gfa;;;;Hovedbane;Teknisk Station;;231;STED
23a;23;23;232004;;Fredericia - Børkop;Fa-Bk;1,269;11,13;;Hovedbane;Fri Bane;;232;3
23a;23;23;232013;;Børkop;Bk;11,13;13,177;11,87;Hovedbane;Station;;234;STED
23a;23;23;232014;;Børkop - Vejle;Bk-Vj;13,177;24,466;;Hovedbane;Fri Bane;;235;3
23a;23;23;232014;232015;Brejning;Bet;;;14,838;Hovedbane;Trinbræt;;236;STED
23a;23,33;23;233000;;Vejle;Vj;24,466;26,76;25,72;Hovedbane;Station;;237;STED
23b;23;23;234028;;Vejle - Hedensted;Vj-Hed;26,76;39,77;;Hovedbane;Fri Bane;;238;3
23b;23;23;234041;;Hedensted;Hed;39,77;41,83;40,761;Hovedbane;Station;;239;STED
23b;23;23;234042;;Hedensted - Horsens;Hed-Hs;41,83;56,031;;Hovedbane;Fri Bane;;240;4
23b;23;23;234057;;Horsens;Hs;56,031;58,549;57,1;Hovedbane;Station;;241;STED
23b;23;23;234060;;Horsens - Hovedgård;Hs-Hå;58,549;70,6;;Hovedbane;Fri Bane;;242;3
23b;23;23;234071;;Hovedgård;Hå;70,6;72,4;71,575;Hovedbane;Teknisk Station;;244;STED
23b;23;23;234074;;Hovedgård - Skanderborg;Hå-Sd;72,4;84,701;;Hovedbane;Fri Bane;;245;3
23b;23,35;23;235000;;Skanderborg;Sd;84,701;87,202;85,765;Hovedbane;Station;;247;STED
23b;23;23;236088;;Skanderborg - Hørning;Sd-Hx;87,202;92,711;;Hovedbane;Fri Bane;;248;3
