Tabellennummer;Liniennummer;Laufweg
430;RT 1, RE 11 (ABR), RE 17, ERB 89;Hamm - Soest - Paderborn - Altenbeken - Warburg - Kassel
431;ERB 59;Soest - Unna - Dortmund RB 59 Hellweg-Bahn
433;RB 53;Dortmund - Schwerte - Iserlohn
434;RB 52;Dortmund - Hagen - Lüdenscheid
435;RE 17, RB 42, RE 57;Hagen - Bestwig - Warburg
437;RB 54;Unna - Fröndenberg - Menden - Neuenrade
438;RE 17, RE 57;Dortmund - Bestwig - Winterberg
439;RE 17, RB 42, RE 57;Bestwig / Brilon Stadt - Brilon Wald - Willingen - Korbach
440;RE 16 (ABR), RB 40 (ABR), RB 91 (ABR);Siegen - Finnentrop - Werdohl / Iserlohn - Letmathe - Hagen - Witten - Bochum - Essen Ruhr-Sieg-Strecke
442;HLB 92;Finnentrop - Olpe HLB 92 Biggesee-Express
443;HLB 93;Bad Berleburg - Erndtebrück - Siegen - Betzdorf HLB 93 Rothaar-Bahn
445;RB 40, RB 95 (HLB), RE 99 (HLB);(Frankfurt) - Gießen - Dillenburg - Siegen
447;NWB 36;Oberhausen - Duisburg-Ruhrort RB 36 Ruhrort-Bahn
450_1;S 1;Solingen - Düsseldorf - D Flughafen - Duisburg - Essen - Bochum - Dortmund S 1
450_2;S 2;Dortmund - Herne - Gelsenkirchen/Recklinghausen - Duisburg/Essen S 2
450_3;S 3;Oberhausen - Mülheim - Essen - Hattingen S 3
450_4;S 4;Dortmund-Lütgendortmund - Unna-Königsborn - Unna S 4
450_5;S 5;Dortmund - Witten - Wetter - Hagen S 5
450_6;S 6;K-Worringen - K-Nippes - Köln - Langenfeld - Düsseldorf - Ratingen Ost - Essen S 6
450_7;S 7 (ABR);Solingen - Remscheid - Wuppertal
450_8;S 8;Mönchengladbach - Düsseldorf - Wuppertal - Hagen S 8
450_9;S 9;Haltern am See - Bottrop - Essen - Velbert-Langenberg - Wuppertal - Hagen S 9
450_11;S 11;D Flughafen Terminal - Düsseldorf Hbf - Neuss - Köln - Bergisch Gladbach S 11
450_12;S 12;Horrem - Köln - Porz - Troisdorf - Siegburg/Bonn - Hennef - Au S 12
450_13;S 13, S 19;Düren-Horrem-Köln-Köln/Bonn Flughafen-Troisdorf-Siegburg/Bonn-Hennef-Au S 13 / S 19
450_28;S 28 (Regiobahn);Kaarster See - Neuss - Düsseldorf - Mettmann Stadtwald S28
450_68;S 68;Langenfeld - Düsseldorf - Wuppertal-Vohwinkel S 68
455;RE 7 (National Express), ERB 13, RB 48 (National Express);Köln - Wuppertal - Hagen - (Dortmund ) Hamm - Münster
459;RB 25;Köln - Overath - Gummersbach - Meinerzhagen - Lüdenscheid
460;RE 9, HLB 90, HLB 93, S 12, S 19;Köln - Au - Betzdorf - Siegen Siegstrecke
461;HLB 90;Siegen - Au (Sieg) - Altenkirchen - Limburg RB 90 Westerwald-Sieg-Bahn
462;HLB 96;Betzdorf - Haiger - Dillenburg RB 96
463;dab 97;Betzdorf - Daaden RB 97 Daadetalbahn
465;RE 8, VIA 10, RB 27;Koblenz - Neuwied - Porz (Rhein) / Köln/Bonn Flughafen - Köln - Mönchengladbach
466;VIA 10;Wiesbaden - Rüdesheim - Koblenz - Neuwied (Rechte Rheinstrecke)
467;;Siegburg Bahnhhof - Bonn Hbf
470;RE 5 (bis 08.06.2019), RE 5 (ab 09.06.2019 National Express), RB 23, RB 26 (MRB trans regio), RB 30, RB 48 (National Express);Köln - Bonn - Remagen - Koblenz
471;MRB 32, RE 2;Koblenz - Mainz - F-Flughafen - Frankfurt (linke Rheinstrecke)
472;;Frankfurt (Main) - Köln
474;RE 12, RE 22, RB 22, RB 24;Köln - Euskirchen - Gerolstein - Trier
475;S 23, RB 23;Bad Münstereifel - Euskirchen - Bonn
477;RB 30, RB 39;Ahrbrück - Remagen - Bonn Ahrtalbahn
478;RB 23, RB 38;Kaisersesch - Mayen - Andernach Pellenz - Eifel - Strecke
480;RE 1, RE 9, RB 20;Aachen - Düren - Köln
481;RB 38;Köln - Horrem - Bedburg
482;RB 20;Stolberg - Herzogenrath - Aachen - Stolberg - Stolberg-Altstadt/Eschw.-Weisweiler - Langerwehe - Düren
483;RE 29;Spa-Géronstère - Aachen
484;RE 18;Maastricht - Aachen
485;RE 1, RE 4, ERB 13, RB 33;Aachen - Lindern / Heinsberg - Rheydt / Venlo - Mönchengladbach - Hagen - Dortmund
487;RB 34 (VIAS);Mönchengladbach - Dalheim
488;RB 39 (VIAS);Bedburg - Grevenbroich - Neuss - Düsseldorf
490;RB 33, RB 35 (ABR), RE 42;Mönchengladbach - Krefeld - Duisburg - Essen
495;RE 6, RE 7 (National Express), NWB 10;Kleve - Krefeld - Düsseldorf / Köln - Köln/Bonn Flughafen
498;RB 31 (NWB);Xanten - Moers - Duisburg Der Niederrheiner
500;RE 50;Leipzig - Riesa - Dresden
501;S 6, S 5/S 5X, S 3;Halle (Saale) - Leipzig/Halle Flughafen/Schkeuditz - Leipzig Hbf (tief)
501_1;S 1;Leipzig-Stötteritz - Leipzig - Leipzig Miltitzer Allee
501_2;S 2;Leipzig-Stötteritz - Leipzig - Delitzsch - Bitterfeld - Dessau/Lutherstadt Wittenberg - Jüterbog
501_3;S 3, RE 50;Oschatz - Wurzen - Leipzig - Schkeuditz - Halle (S) Hbf - Halle-Trotha
501_4;S 4, RE 10;Hoyerswerda - Falkenberg - Torgau - Leipzig - Markkleeberg-Gaschwitz
501_5;S 5/S 5X;Halle (Saale) - Leipzig/Halle Flughafen - Leipzig Hbf (tief) - Altenburg - Zwickau (Sachs)
501_6;S 6;Leipzig Messe - Leipzig Hbf (tief) - Borna (Leipzig) - Geithain
501_7;S 7;Halle-Nietleben - Halle (Saale) Hbf
501_8;S 8;Halle (Saale) - Bitterfeld - Dessau - Lutherstadt Wittenberg
501_9;S 9;Halle - Delitzsch - Eilenburg
506;RB 110;Leipzig - Grimma - Döbeln
510;RE 3, RB 30;Dresden - Chemnitz - Zwickau - Plauen - Hof
510_3;RE 3, RB 30, S 3;Dresden - Tharandt - Freiberg
516;C 15;Chemnitz Technopark - Chemnitz Zentralhaltestelle - Chemnitz Hbf - Niederwiesa - Hainichen
517;RB 80;Chemnitz - Flöha - Annaberg-Buchholz - Cranzahl
519;RB 81;Chemnitz - Flöha - Pockau-Lengefeld - Olbernhau-Grünthal
520;RB 45, C 14;Elsterwerda - Riesa - Chemnitz
522;C 11;Chemnitz - Neukirchen-Klaffenbach - Pfaffenhain - Stollberg (Sachs)
523;CB;Glauchau (Sachs) - St Egidien - Lichtenstein (Sachs) - Stollberg (Sachs)
524;;Chemnitz - Thalheim - Aue
525;RE 6, RB 113, C 13;Leipzig - Bad Lausick - Geithain - Burgstädt - Chemnitz
535;RB 95;Zwickau (Sachs) - Aue (Sachs) - Johanngeorgenstadt
539;RB 5, RB 1;Mehltheuer - Plauen - Herlasgrün/Zwickau - Falkenstein - Klingenthal - Kraslice
540;RE 3, RE 1, RB 37, S 5/5X;Gera - Schmölln - Altenburg/Gößnitz/Zwickau/Glauchau
540_1;RE 3, RE 1;Göttingen - Erfurt - Gera - Greiz - /Altenburg/Gößnitz - Glauchau
541;RE 3, RB 4;Gera - Greiz - Elsterberg - Plauen (V) Mitte - Weischlitz
544;RE 3, RB 5, RB 2, RB 1, EBx 13, EB 30;Zwickau - Plauen - Mehltheuer - Hof/Adorf - Bad Brambach - Cheb
546;EB 13;Gera - Weida - Hof
550;EBx 12, EB 22;Leipzig - Zeitz - Gera
551;RB 76;Weißenfels - Teuchern - Zeitz
555;EBx 12, EB 22;Saalfeld (Saale) - Weida - Gera
557;EB 32;Saalfeld - Lobenstein - Blankenstein
559;EB 28;Pößneck unt Bf - Orlamünde - Jena
