Abk;Name;Kurzname;Typ;Betr-Zust;Primary location code;UIC;RB;gültig von;gültig bis;Netz-Key;Fpl-rel;Fpl-Gr
RHAM;Halbmeil;Halbmeil;Hp;;DE14308;0080;6;20081214;;145078;J;N
RHAR;Hubacker;Hubacker;Hp;;DE15140;0080;6;20081214;;143008;J;N
RHAS;Haßmersheim;Haßmersheim;Hp;;DE14618;0080;6;20081214;;141317;J;N
RHAT;Hattingen (Baden);Hattingen(Baden);Bf;;DE14624;0080;6;20081214;;145524;J;N
RHATA;Hattingen Abzw;Hattingen Abzw;Bft Abzw;;DE14628;0080;6;20081214;;913042;J;N
RHAU;Hagnau (Bodensee);Hagnau(Bodensee);Slst;;;0080;;19990101;;;;
RHAX;Haagen (Baden) ESTW;Haagen (Baden) E;BZ;;;0080;6;20050119;;105621;N;N
RHBA;Heselbach;Heselbach;vp-Bf;;DE14863;0080;6;20081224;;660787;J;N
RHBC;Helmbach;Helmbach;Museum;;;0080;;20000416;;;N;N
RHBF;Heidelberg-Weststadt/Südstadt;HD West/Südstadt;Bft;;DE14682;0080;6;20101212;;722082;J;N
RHBG;Hornberg (Schwarzw);Hornberg;Bf;;DE15103;0080;6;20081214;;145110;J;N
RHBH;Heidelberg-Handschuhsheim;Heidelberg-Hand.;NE-Bf;;;0080;;20081214;;515650;J;N
RHBO;Heidelberg Orthopädie;Hd Orthopädie;Hp;;DE14676;0080;6;20081214;;722074;J;N
RHBP;Heidelberg-Pfaffengrund/Wieblingen;Pfaffengr/Wiebl;Hp;;DE14680;0080;6;20081214;;140202;J;N
RHBW;Heidelberg-Wieblingen;Heidelb-Wiebl;Abzw;;DE14683;0080;6;20081214;;146811;J;N
RHBZ;Heidelberg Bismarckplatz;Heidelberg Bism.;NE-Bf;;;0080;;20081214;;515320;J;N
RHCH;Hemsbach;Hemsbach;Bf;;DE14760;0080;6;20081214;;113092;J;N
RHE;Heitersheim;Heitersheim;Bf;;DE14737;0080;6;20081214;;144105;J;N
RHEB;Baden-Baden Haueneberstein;Haueneberstein;Hp;;DE10582;0080;6;20081214;;373597;J;N
RHED;Heddesheim (Baden) Ort;Heddesh.(Ba) Ort;NE-Bf;;;0080;;20081214;;515627;J;N
RHF;Hüfingen;Hüfingen;Bf;;DE15147;0080;6;20081214;;144006;J;N
RHFF;Hoffenheim;Hoffenheim;Bf;;DE14979;0080;6;20081214;;141853;J;N
RHFH;Hüffenhardt;Hüffenhardt;NE-Bf;;;0080;;20090401;;508077;J;N
RHFM;Hüfingen Mitte;Hüfingen Mitte;Bf;;DE15148;0080;6;20081214;;719880;J;J
RHFMS;Hüfingen Schaffhauser Straße;Hüfingen Schaffh;Bush;;;0080;;20140730;;;N;N
RHGB;Hagenbach;Hagenbach;Hp;;DE14247;0080;6;20081214;;191049;J;N
RHGBA;Hagenbach I;Hagenbach I;Awanst;;DE14248;0080;6;20081214;;911345;J;N
RHGBB;Hagenbach II;Hagenbach II;Awanst;;DE14249;0080;6;20081214;;911346;J;N
RHGBC;Hagenbach III;Hagenbach III;Awanst;;DE14250;0080;6;20081214;;911347;J;N
RHGN;Hegne;Hegne;Hp;;DE14669;0080;6;20081214;;145821;J;N
RHHF;Hemmenhofen;Hemmenhofen;Slst;;;0080;;19990101;;;;
RHI;Heidelsheim;Heidelsheim;Hp Anst;;DE14686;0080;6;20081214;;140913;J;N
RHIG;Hintschingen Hp;Hintschingen Hp;Museum;;;0080;;20030813;;;N;N
RHIM;Kirchzarten Himmelreich;Himmelreich;Bf;;DE15549;0080;6;20081214;;143685;J;N
RHIN;Hintschingen;Hintschingen;Abzw;;DE14919;0080;6;20081214;;145367;J;J
RHIO;Heidelsheim Nord;Heidelsheim Nord;Hp;;DE14687;0080;6;20081214;;392506;J;N
RHIR;Hirschsprung;Hirschsprung;Bf;;DE14934;0080;6;20081214;;143693;J;N
RHIW;Hintschingen WTB/DB;Hintsch WTB/DB;Gp;;DE14920;0080;6;20081214;;872358;J;N
RHIZ;Hinterzarten;Hinterzarten;Bf;;DE14918;0080;6;20081214;;143727;J;N
RHK;Hockenheim;Hockenheim;Bf;;DE14964;0080;6;20081214;;140632;J;N
RHKA;Heidelberg-Altstadt;HD-Altstadt;Bf;;DE14678;0080;6;20081214;;141127;J;N
RHKM;Heidelberg-Kirchheim/Rohrbach;HD-Kirchh/Rohrb;Bf;;DE14679;0080;6;20081214;;140319;J;N
RHKR;Schwetzingen Hirschacker;Hirschacker;Hp;Planung;DE19619;0080;6;20100806;;107455;N;N
RHKX;Hockenheim ESTW-Z;Hockenheim ESTW;BZ;Planung;;0080;6;20150915;;109577;N;N
RHL;Haltingen;Haltingen;Bf;;DE14374;0080;6;20081214;;144246;J;N
RHL K;Haltingen KTB;Haltingen KTB;Museum;;;0080;;20000416;;;N;N
RHLB;Bad Herrenalb;Bad Herrenalb;NE-Bf;;;0080;;20081214;;406181;J;N
RHLO;Haßloch (Pfalz);Haßloch (Pfalz);Bf;;DE14617;0080;6;20081214;;194027;J;N
RHLT;Hilpertsau;Hilpertsau;vp-Bf;;DE14899;0080;6;20081219;;142570;J;N
RHM;Helmstadt (Baden);Helmstadt(Baden);Hp;;DE14745;0080;6;20090801;;508127;J;N
RHN;Heiligenstein (Pfalz);Heiligenst (Pf);Hp;;DE14717;0080;6;20081214;;190959;J;N
RHO;Hirschhorn (Neckar);Hirschhorn (Ne.);Bf;;DE14931;0080;6;20081214;;141192;J;N
RHO S;Hirschhorn (Neckar) Schiffsanleger;Hirschhorn Anleg;Bush;;;0080;;19990101;;;;
RHOA;Hörden-Ottenau;Hörden;vp-Bf;;DE15090;0080;6;20081219;;373654;J;N
RHOF;Hof (Münstertal);Hof (Münstertal);NE-Hp;;;0080;;20090401;;487231;J;N
RHOR;Hörden-Ottenau (Hp);Hörden Hp;vp-Bft;;DE15091;0080;6;20101212;;660688;J;N
RHOS;Hochstetten;Hochstetten;NE-Bf;;;0080;;20081214;;406025;J;N
RHOSG;Hochstetten Grenzstraße;Hochst Grenzstr;NE-Hp;;;0080;;20081214;;912417;J;N
RHP;Höpfingen;Höpfingen;Hp Anst;a.B.;DE15077;0080;6;20030101;;141606;N;N
RHQ;Heidelberg Bedienstandort;Heidelberg BSO;BSO;Planung;;0080;6;20180301;;110565;N;N
RHR;Heidelberg Rbf;Heidelberg Rbf;Bf;a.B.;DE14677;0080;6;20030101;;140228;N;N
RHRB;Herblingen;Herblingen;Hp;;DE14784;0080;6;20081214;;144873;J;N
RHRN;Hohenkrähen;Hohenkrähen;Bf;a.B.;DE15012;0080;6;20030101;;145573;N;N
RHRT;Herten (Baden);Herten (Baden);Hp;;DE14844;0080;6;20081214;;144600;J;N
